"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C12H21N2O3PS/c1-6-16-18(15,17-7-2)19-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",1,1,9,0,0,0,1,1,4,0,2,2,0,0,1,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,1,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,6,0,0,0,6,2,0,0,0,0,2,0,12,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-2-8-13-9-3-10-17-18(13,15)14-11-4-6-12(7-5-11)19(14)16/h4,6,11-12H,2-3,5,7-10H2,1H3",1,0,11,0,0,0,1,1,4,1,0,0,1,0,0,0,1,0,1,0,7,0,0,2,1,6,4,0,1,1,3,1,3,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,36,18,35,36,0,5,2,14,0,0,2,2,4,1,0,0,0,0,0,1,0,0,0,5,0,0,0,6,9,0,2,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,3,4,1,0,0,0,0,0,0,5,0,17,0,1,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,3,1,26,2,0,0,0
"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-10-8-13-11(14-9-10)12(3,4)5/h8-9H,6-7H2,1-5H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,3,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,2,0,6,2,0,0,0,0,2,0,12,0,0,5,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-4-7-8-11-9-10-13-12(14-11)17-18(19,15-5-2)16-6-3/h9-10H,4-8H2,1-3H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,5,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,9,18,3,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,3,0,2,3,0,2,3,0,0,1,0,2,0,0,0,4,0,0,0,0,6,0,2,0,6,2,0,0,0,0,2,0,30,0,0,3,9,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-5-8-11-13-10(4)9-12(14-11)17-18(19,15-6-2)16-7-3/h9H,5-8H2,1-4H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,9,9,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,2,3,0,2,3,0,0,1,0,1,1,0,0,4,0,0,0,0,6,0,2,0,6,2,0,0,0,0,2,0,24,0,0,4,9,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-6-16-18(15,19-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",1,1,9,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,1,2,2,0,0,1,0,1,1,0,0,4,0,0,0,0,3,0,2,0,6,2,0,0,0,0,2,0,12,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-10(4)5)17-11-7-13-12(9(2)3)14-8-11/h7-10H,6H2,1-5H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,3,0,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2,0,6,2,0,0,0,0,2,0,6,0,0,5,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c15-14(16)9-5-7-10(8-6-9)18(17)13-11-3-1-2-4-12(11)19-18/h9-12H,1-8H2,(H,13,17)",1,0,13,0,0,0,1,1,6,0,0,0,0,0,1,0,0,0,1,0,6,0,1,1,0,5,1,1,0,0,3,1,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,15,45,50,32,45,0,3,2,9,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,9,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,2,0,0,0,0,1,44,2,0,0,0
"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,0,2,3,0,0,1,0,1,1,0,0,4,0,0,0,0,6,0,2,0,6,2,0,0,0,0,2,0,12,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-13-12(9(3)4)14-10(11)5/h8-9H,6-7H2,1-5H3",1,1,9,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,3,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,2,0,6,2,0,0,0,0,2,0,12,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0
