"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C17H27NO2/c1-11(2)18-13(4)16(19)10-20-17-9-8-12(3)14-6-5-7-15(14)17/h8-9,11,13,16,18-19H,5-7,10H2,1-4H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,18,8,17,18,6,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,1,0,3,3,2,0,6,6,0,0,0,0,0,0,9,0,0,4,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C17H27NO2/c1-12(2)18-10-14(19)11-20-15-6-5-13-7-8-17(3,4)16(13)9-15/h5-6,9,12,14,18-19H,7-8,10-11H2,1-4H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,3,0,9,0,4,9,12,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,1,0,3,6,2,0,6,6,0,0,0,0,0,0,14,3,0,4,0,6,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C17H27NO2/c1-12(2)18-13(3)16(19)11-20-17-10-6-8-14-7-4-5-9-15(14)17/h6,8,10,12-13,16,18-19H,4-5,7,9,11H2,1-3H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,27,17,25,27,3,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,1,0,3,3,2,0,6,6,0,0,0,0,0,0,10,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,15,2,0,0,0
"InChI=1S/C17H27NO2/c1-11(2)18-16(13(4)19)10-20-17-9-8-12(3)14-6-5-7-15(14)17/h8-9,11,13,16,18-19H,5-7,10H2,1-4H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,18,8,17,18,6,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,2,0,6,6,0,0,0,0,0,0,9,0,0,4,0,0,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C17H27NO2/c1-17(2,3)11-18(4)15-9-6-12-10-13(20-5)7-8-14(12)16(15)19/h7-8,10,15-16,19H,6,9,11H2,1-5H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,3,9,9,9,9,9,3,0,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,8,0,1,5,0,12,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,15,2,0,0,0
"InChI=1S/C17H27NO2/c1-17(2,3)18-11-14(19)12-20-16-10-6-8-13-7-4-5-9-15(13)16/h6,8,10,14,18-19H,4-5,7,9,11-12H2,1-3H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,3,0,27,17,25,27,9,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,1,0,3,6,2,0,6,6,0,0,0,0,0,0,16,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,15,2,0,0,0
"InChI=1S/C17H27NO2/c1-18(2)16(15-6-4-5-7-17(15)19)12-13-8-10-14(20-3)11-9-13/h8-11,15-17,19H,4-7,12H2,1-3H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,6,9,27,26,34,27,6,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,4,0,6,6,0,0,0,0,0,0,10,0,1,3,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,0,0,30,0,0,0,0
"InChI=1S/C17H27NO2/c1-12(2)9-10-18(3)16-8-5-13-11-14(20-4)6-7-15(13)17(16)19/h6-7,11-12,16-17,19H,5,8-10H2,1-4H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,3,9,18,9,18,18,12,0,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,14,0,1,4,0,9,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,15,2,0,0,0
"InChI=1S/C17H27NO2/c1-5-12(2)11-18(3)16-9-6-13-10-14(20-4)7-8-15(13)17(16)19/h7-8,10,12,16-17,19H,5-6,9,11H2,1-4H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,3,9,9,9,9,9,6,0,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,14,0,1,4,3,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,15,2,0,0,0
"InChI=1S/C17H27NO2/c1-4-20-16-10-7-9-14(12-16)17(19)11-6-5-8-15(17)13-18(2)3/h7,9-10,12,15,19H,4-6,8,11,13H2,1-3H3",1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,1,0,3,9,6,27,35,34,27,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,2,0,0,0,4,0,0,0,0,1,0,0,0,0,3,3,4,0,6,6,0,0,0,0,0,0,16,0,3,3,3,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,0,1,30,0,0,0,0
