"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)",1,0,17,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,2,1,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,7,3,3,9,26,0,9,3,2,2,13,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,3,0,1,6,0,0,5,0,0,0,5,1,1,0,0,1,0,0,4,4,0,0,6,1,0,0,0,0,0,0,2,0,14,0,1,4,3,6,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0,0,1,0,32,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-5-6-10-7-20(3)8-11(10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)",1,0,17,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5,0,2,1,0,0,0,0,0,0,0,2,0,0,1,4,0,1,0,7,3,6,9,26,18,9,0,2,2,13,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,6,0,0,1,6,0,0,5,0,0,0,5,1,1,0,0,2,0,0,4,4,0,0,6,1,0,0,0,0,0,0,2,0,14,0,3,4,3,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0,0,1,0,32,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-8(2)10-6-11(20(4)7-10)17(25)19-12(9(3)21)16-14(23)13(22)15(24)18(26-16)27-5/h8-16,18,21-24H,6-7H2,1-5H3,(H,19,25)",1,0,17,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,2,1,0,0,0,0,0,0,0,2,0,0,1,4,0,1,0,7,3,3,0,8,0,0,15,2,2,13,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,3,0,1,6,0,0,5,0,0,0,5,1,1,0,0,1,0,0,4,4,0,0,6,1,0,0,0,0,0,0,2,0,2,0,1,5,0,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0,0,1,0,32,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-17(2,12-15(23)24)6-9-27-10-8-20-13(21)5-7-19-14(22)11-18(3,4)16(25)26/h16,25-26H,5-12H2,1-4H3,(H,19,22)(H,20,21)(H,23,24)",1,0,15,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,9,0,0,0,0,0,0,2,0,0,2,2,0,0,1,5,15,9,27,45,36,27,6,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,12,0,0,6,1,0,5,0,0,0,0,2,2,2,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,48,0,1,4,0,18,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-5-9-6-7-19-10(8-9)16(24)20-15(18(2,3)25)14-12(22)11(21)13(23)17(26-14)27-4/h9-15,17,19,21-23,25H,5-8H2,1-4H3,(H,20,24)",1,0,17,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,3,1,6,0,0,0,0,0,0,2,0,0,1,3,0,0,0,7,3,14,9,26,8,9,6,2,2,10,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3,6,1,1,6,0,0,5,0,0,0,7,1,1,0,0,1,0,0,4,4,0,0,6,1,0,0,0,0,0,0,2,0,9,3,0,4,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-5-10-6-8-20(9-7-10)17(24)19-15(18(2,3)25)14-12(22)11(21)13(23)16(26-14)27-4/h10-16,21-23,25H,5-9H2,1-4H3,(H,19,24)",1,0,17,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,5,0,2,1,0,0,0,0,0,0,0,2,0,0,1,4,0,1,0,7,6,6,18,51,16,18,6,2,2,10,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,2,2,0,0,6,6,0,1,6,0,0,5,0,0,0,7,2,0,0,0,1,0,0,4,4,0,0,6,1,0,0,0,0,0,0,2,0,10,0,1,4,3,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-2-12-24-13-4-3-5-16-6-10-20(11-7-16)27(22,23)18(17(21)26-19)8-14-25-15-9-18/h16H,2-15,19H2,1H3",1,0,18,0,0,0,0,1,4,2,0,4,4,0,0,0,2,0,0,0,6,0,0,3,3,4,1,1,1,2,2,0,3,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,5,0,6,72,129,122,72,0,2,2,9,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,2,1,0,1,6,6,1,1,6,3,0,2,1,0,0,0,0,0,1,0,2,0,0,0,4,12,12,0,1,0,0,0,0,0,0,2,0,44,0,3,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-2-3-4-12-25-13-7-16-5-10-20(11-6-16)27(23,24)18(17(21)19-22)8-14-26-15-9-18/h16,22H,2-15H2,1H3,(H,19,21)",1,0,18,0,0,0,0,1,4,2,0,4,4,0,0,0,2,0,0,0,5,0,0,3,3,4,1,1,1,2,2,0,3,18,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,5,6,12,72,129,104,72,3,2,2,10,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,1,6,6,0,1,6,2,0,3,1,0,0,0,1,1,0,0,3,0,0,1,2,12,12,0,1,0,0,0,0,0,0,2,0,44,0,3,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-2-3-12-25-13-4-5-16-6-10-20(11-7-16)27(23,24)18(17(21)19-22)8-14-26-15-9-18/h16,22H,2-15H2,1H3,(H,19,21)",1,0,18,0,0,0,0,1,4,2,0,4,4,0,0,0,2,0,0,0,5,0,0,3,3,4,1,1,1,2,2,0,3,18,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,5,6,12,72,120,131,72,3,2,2,10,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,1,6,6,0,1,6,2,0,3,1,0,0,0,1,1,0,0,3,0,0,1,2,12,12,0,1,0,0,0,0,0,0,2,0,44,0,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
"InChI=1S/C18H34N2O6S/c1-2-3-4-5-12-26-15-16-6-10-20(11-7-16)27(23,24)18(17(21)19-22)8-13-25-14-9-18/h16,22H,2-15H2,1H3,(H,19,21)",1,0,18,0,0,0,0,1,4,2,0,4,4,0,0,0,2,0,0,0,5,0,0,3,3,4,1,1,1,2,2,0,3,18,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,5,6,12,72,111,104,72,3,2,2,10,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,1,6,6,0,1,6,2,0,3,1,0,0,0,1,1,0,0,3,0,0,1,2,12,9,0,1,0,0,0,0,0,0,2,0,44,0,3,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,2,0,0,0,2,0,36,0,0,0,0
