"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C20H23N/c1-21-14-6-13-20(15-21)18-9-4-2-7-16(18)11-12-17-8-3-5-10-19(17)20/h2-5,7-10H,6,11-15H2,1H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,27,17,54,27,3,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,6,0,3,1,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,1,0,0,1,0,22,8,0,0,0
"InChI=1S/C20H23N/c1-21-14-12-20(13-15-21)18-8-4-2-6-16(18)10-11-17-7-3-5-9-19(17)20/h2-9H,10-15H2,1H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,27,33,52,27,6,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,6,0,3,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,1,0,0,1,0,22,8,0,0,0
"InChI=1S/C20H23N/c1-21-12-6-11-20(15-21)14-18-9-3-2-7-16(18)13-17-8-4-5-10-19(17)20/h2-5,7-10H,6,11-15H2,1H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,18,35,63,18,3,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,6,0,3,1,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,1,0,0,1,0,18,8,0,0,0
"InChI=1S/C20H23N/c1-21-12-10-20(11-13-21)15-18-8-3-2-6-16(18)14-17-7-4-5-9-19(17)20/h2-9H,10-15H2,1H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,18,60,43,18,6,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,6,0,3,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,1,0,0,1,0,18,8,0,0,0
"InChI=1S/C20H23N/c1-21-12-11-16-13-19(15-7-3-2-4-8-15)17-9-5-6-10-18(17)20(16)14-21/h2-10,16,19-20H,11-14H2,1H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,9,35,8,9,3,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,4,0,3,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,1,1,28,4,0,0,0
"InChI=1S/C20H23N/c1-2-21-15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-11,13-14,20-21H,2,7,12,15H2,1H3",1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,3,0,18,9,9,18,3,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,24,6,1,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,0,0,7,4,0,0,0
"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-11,13-14,20H,7,12,15H2,1-2H3",1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,18,0,0,18,6,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,18,0,3,2,0,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,0,0,7,4,0,0,0
"InChI=1S/C20H23N/c1-21(14-13-17-7-3-2-4-8-17)16-18-11-12-19-9-5-6-10-20(19)15-18/h2-10,15H,11-14,16H2,1H3",1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,18,18,9,18,3,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,20,0,3,1,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,16,2,0,0,0
"InChI=1S/C20H23N/c1-15-18-9-5-4-8-16(18)14-17(12-13-21(2)3)20-11-7-6-10-19(15)20/h4-11,17H,1,12-14H2,2-3H3",1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,3,0,1,0,0,0,0,9,9,6,9,6,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,1,16,0,3,2,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,0,0,10,4,0,0,0
"InChI=1S/C20H23N/c1-14-7-8-16-12-15-5-3-4-6-17(15)20-13-21(2)10-9-18(20)19(16)11-14/h3-8,11,18,20H,9-10,12-13H2,1-2H3",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,9,17,26,9,3,1,1,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,4,0,3,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,1,0,0,1,0,19,6,0,0,0
