"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C24H29N5O3/c1-3-4-7-22(30)27-17-8-9-21(19(15-17)24(31)32)28-13-10-18(11-14-28)29-16(2)26-20-6-5-12-25-23(20)29/h5-6,8-9,12,15,18H,3-4,7,10-11,13-14H2,1-2H3,(H,27,30)(H,31,32)",1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,0,2,1,2,3,3,36,33,16,36,3,4,5,16,1,4,6,2,4,0,2,0,0,0,0,2,2,3,0,1,0,0,0,6,15,0,4,3,1,0,2,0,0,0,0,1,1,1,0,2,0,0,0,0,0,3,0,0,15,9,0,0,0,0,4,0,22,0,1,2,3,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,21,0,0,1,3,0,0,0,2,2,29,2,0,0,0
"InChI=1S/C24H29N5O3/c1-5-6-17(11-21(30)31)29-23-18(7-8-20(25)26-23)28(24(29)32)13-16-12-27(4)19-10-14(2)9-15(3)22(16)19/h7-10,12,17H,5-6,11,13H2,1-4H3,(H2,25,26)(H,30,31)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,3,2,1,0,12,9,9,0,9,0,4,5,15,1,2,2,4,8,0,2,0,1,0,0,3,2,3,0,2,0,0,0,3,6,2,4,3,2,2,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0,6,2,0,18,10,0,0,0,1,4,0,24,0,0,4,3,3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,1,18,0,0,2,2,0,0,0,1,0,10,4,0,0,0
"InChI=1S/C24H29N5O3/c1-14(2)18(9-11-22(30)31)28-24(32)17-8-10-20-19(13-17)27-21(29(20)3)12-15-4-6-16(7-5-15)23(25)26/h4-8,10,13-14,18H,9,11-12H2,1-3H3,(H3,25,26)(H,28,32)(H,30,31)",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,2,3,0,1,1,2,3,3,9,0,0,9,9,2,5,11,2,0,0,2,2,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,9,2,2,3,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,0,0,15,10,0,0,0,1,2,0,18,0,0,3,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,2,15,0,0,1,2,0,0,0,0,0,10,2,0,0,0
"InChI=1S/C24H29N5O3/c1-5-6-11-21(30)28(4)18-14-12-17(13-15-18)19-9-7-8-10-20(19)23-25-26-27-29(23)22(16(2)3)24(31)32/h7-10,12-16,22H,5-6,11H2,1-4H3,(H,31,32)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1,0,0,18,0,0,18,6,4,5,10,0,2,2,2,2,0,1,0,0,0,3,3,3,1,0,1,2,0,0,0,3,0,4,3,2,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,3,0,0,17,7,0,0,0,0,4,0,18,0,0,4,3,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,17,0,0,1,2,0,0,0,0,2,13,0,0,0,0
"InChI=1S/C24H29N5O3/c1-24(2,3)17-11-9-16(10-12-17)23(32)25-14-13-21(30)27-28-22(31)15-20-26-18-7-5-6-8-19(18)29(20)4/h5-12H,13-15H2,1-4H3,(H,25,32)(H,27,30)(H,28,31)",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,3,0,0,1,9,0,0,0,0,0,0,1,0,0,2,3,0,1,1,2,3,0,9,0,0,9,3,2,5,12,2,0,0,2,2,0,1,0,0,0,1,1,1,3,0,3,2,0,0,3,15,1,2,3,1,0,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,6,0,0,15,10,0,0,0,0,2,0,18,3,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,15,0,0,1,2,0,0,0,0,0,10,2,0,0,0
"InChI=1S/C24H29N5O3/c1-2-28-20-7-3-4-8-21(20)29(24(28)32)16-22(30)26-19-11-9-17(10-12-19)14-27-13-5-6-18(15-27)23(25)31/h3-4,7-12,18H,2,5-6,13-16H2,1H3,(H2,25,31)(H,26,30)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,7,0,3,2,1,12,6,18,26,45,18,0,3,5,21,1,2,2,4,6,0,0,0,1,0,0,1,2,1,0,4,1,0,0,15,6,2,3,3,2,2,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,3,2,0,15,11,0,0,0,1,3,0,22,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,21,0,0,1,3,0,0,0,1,0,31,2,0,0,0
"InChI=1S/C24H29N5O3/c1-5-15(3)21(26-22(30)17-10-8-7-9-11-17)24(32)28-27-23(31)18-12-13-20-19(14-18)25-16(4)29(20)6-2/h7-15,21H,5-6H2,1-4H3,(H,26,30)(H,27,31)(H,28,32)",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,3,0,3,0,0,0,0,3,2,5,12,3,0,0,1,2,0,1,0,0,0,1,1,2,1,0,3,3,0,0,3,0,0,2,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,2,0,12,0,0,4,6,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,15,0,0,1,2,0,0,0,0,0,10,2,0,0,0
"InChI=1S/C24H29N5O3/c1-15(2)22-25-19-6-4-5-7-21(19)29(22)12-16-8-10-17(11-9-16)23(30)26-20-14-28(3)13-18(20)24(31)27-32/h4-11,15,18,20,32H,12-14H2,1-3H3,(H,26,30)(H,27,31)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,1,0,1,9,0,1,0,3,0,1,1,3,0,0,0,0,0,0,2,0,0,1,6,0,2,1,1,6,9,0,8,0,0,0,3,5,20,1,0,2,3,4,0,1,0,0,0,0,1,2,3,1,2,0,0,1,9,3,1,3,3,1,0,2,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,15,10,0,0,0,0,3,0,8,0,3,3,0,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,20,0,0,2,2,0,0,0,0,0,26,2,0,0,0
"InChI=1S/C24H29N5O3/c1-15(2)28-13-19(24(31)27-32)21(14-28)26-23(30)18-10-8-17(9-11-18)12-29-16(3)25-20-6-4-5-7-22(20)29/h4-11,15,19,21,32H,12-14H2,1-3H3,(H,26,30)(H,27,31)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,1,0,1,9,0,0,0,3,0,1,1,3,0,0,0,0,0,0,1,0,0,1,6,0,2,1,1,6,9,0,8,0,0,15,3,5,20,1,0,2,3,4,0,1,0,0,0,0,1,2,3,1,2,0,0,1,9,3,1,3,3,1,0,2,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,15,10,0,0,0,0,3,0,8,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,20,0,0,2,2,0,0,0,0,0,26,2,0,0,0
"InChI=1S/C24H29N5O3/c1-2-14-28-20-11-5-6-12-21(20)29(24(28)32)16-13-22(30)25-26-23(31)17-27-15-7-9-18-8-3-4-10-19(18)27/h3-6,8,10-12H,2,7,9,13-17H2,1H3,(H,25,30)(H,26,31)",1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,12,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,5,0,3,1,2,3,3,36,9,35,36,0,3,5,18,2,2,0,3,6,0,0,0,1,0,1,1,2,2,0,4,3,0,0,12,15,0,3,3,1,2,2,0,0,0,0,4,2,0,0,1,0,0,0,0,0,6,2,0,15,11,0,0,0,0,3,0,33,0,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,19,0,0,1,3,0,0,0,1,0,18,4,0,0,0
