"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C24H31FO6/c1-13-9-18-17-6-5-15-10-16(27)7-8-21(15,3)23(17,25)19(28)11-22(18,4)24(13,30)20(29)12-31-14(2)26/h7-8,10,13,17-19,28,30H,5-6,9,11-12H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,6,9,18,54,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,24,0,4,0,0,1,1,3,3,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-13-9-18-16-6-8-23(30,20(29)12-31-14(2)26)22(16,4)11-19(28)24(18,25)21(3)7-5-15(27)10-17(13)21/h5,7,10,13,16,18-19,28,30H,6,8-9,11-12H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,6,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,6,9,36,64,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,9,6,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,20,0,4,0,0,1,1,3,3,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-14(26)31-12-20(29)24(30)9-7-17-18-5-4-15-10-16(27)6-8-21(15,2)23(18,13-25)19(28)11-22(17,24)3/h6,8,10,17-19,28,30H,4-5,7,9,11-13H2,1-3H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,6,1,2,4,0,0,0,6,1,0,0,0,0,0,3,4,12,6,18,54,100,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,9,6,0,0,0,0,0,0,0,0,0,17,0,0,3,0,3,20,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-12-7-16-20-17(25)9-14-8-15(27)5-6-22(14,3)21(20)18(28)10-23(16,4)24(12,30)19(29)11-31-13(2)26/h5-6,8,12,16-18,20-21,28,30H,7,9-11H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,3,0,9,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,9,0,0,4,0,6,15,0,4,0,0,1,1,3,2,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-12-7-16-15-9-18(25)17-8-14(27)5-6-22(17,3)21(15)19(28)10-23(16,4)24(12,30)20(29)11-31-13(2)26/h5-6,8,12,15-16,18-19,21,28,30H,7,9-11H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,6,0,18,45,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,9,0,0,4,0,6,24,0,4,0,0,1,1,3,2,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-12-9-16-14-5-6-15-21(25)17(27)7-8-22(15,3)20(14)18(28)10-23(16,4)24(12,30)19(29)11-31-13(2)26/h7-8,12,14,16,18,20,28,30H,5-6,9-11H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,6,9,18,54,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,24,0,4,0,0,1,1,1,2,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-12-7-16-15-6-5-14-8-18(27)17(25)9-22(14,3)21(15)19(28)10-23(16,4)24(12,30)20(29)11-31-13(2)26/h8-9,12,15-16,19,21,28,30H,5-7,10-11H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,9,6,9,18,54,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,24,0,4,0,0,1,1,1,2,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-13-9-18-17-6-5-15-10-16(28)7-8-21(15,3)23(17,25)19(29)11-22(18,4)24(13,20(30)12-26)31-14(2)27/h7-8,10,13,17-19,26,29H,5-6,9,11-12H2,1-4H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,4,0,0,0,7,1,0,0,0,0,0,3,4,0,3,9,18,54,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,6,6,0,0,0,0,0,0,0,0,0,10,3,0,4,0,6,24,0,4,0,0,1,1,3,3,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-4-20(29)31-13-19(28)23(30)10-8-16-17-6-5-14-11-15(26)7-9-21(14,2)24(17,25)18(27)12-22(16,23)3/h7,9,11,16-18,27,30H,4-6,8,10,12-13H2,1-3H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,6,1,2,4,0,0,0,6,1,0,0,0,0,0,3,4,9,6,18,45,73,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,15,6,0,0,0,0,0,0,0,0,0,17,0,0,3,3,3,23,0,3,0,0,1,1,3,3,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
"InChI=1S/C24H31FO6/c1-4-20(29)31-12-19(28)24(30)8-6-15-14-10-17(25)16-9-13(26)5-7-22(16,2)21(14)18(27)11-23(15,24)3/h5,7,9,14-15,17-18,21,27,30H,4,6,8,10-12H2,1-3H3",1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,6,1,2,4,0,0,0,6,1,0,0,0,0,0,3,4,9,6,9,45,64,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,1,0,0,0,0,2,1,3,15,6,0,0,0,0,0,0,0,0,0,16,0,0,3,3,3,23,0,3,0,0,1,1,3,2,0,0,0,0,0,0,0,2,17,0,0,1,3,0,0,0,0,0,34,6,0,0,0
