"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C37H48N6O5S2/c1-24(2)33(41-36(46)42(5)20-29-22-49-35(40-29)25(3)4)34(45)39-28(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)43(37(47)48)21-30-19-38-23-50-30/h6-15,19,22-25,28,31-33,44H,16-18,20-21H2,1-5H3,(H,39,45)(H,41,46)(H,47,48)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,2,8,0,2,1,4,9,15,0,18,9,0,0,4,6,25,2,0,0,2,0,0,0,0,1,1,0,1,2,1,0,5,2,0,0,6,12,0,2,5,1,0,4,0,0,0,1,5,1,1,0,1,0,0,0,0,0,3,0,0,22,14,0,0,0,0,4,0,30,0,1,5,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-23(2)33(42-36(46)43(5)31(19-28-20-38-22-50-28)30-21-49-35(40-30)24(3)4)34(45)39-27(16-25-12-8-6-9-13-25)18-32(44)29(41-37(47)48)17-26-14-10-7-11-15-26/h6-15,20-24,27,29,31-33,41,44H,16-19H2,1-5H3,(H,39,45)(H,42,46)(H,47,48)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,1,0,6,0,0,0,0,0,0,2,0,0,2,7,0,1,1,4,6,15,0,9,0,0,3,4,6,22,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,5,2,0,0,0,12,1,2,5,1,0,4,0,0,0,1,5,1,1,0,1,0,0,0,0,0,3,0,0,22,14,0,0,0,1,4,0,24,0,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-25(2)32(33(38)45)43(36(47)42(5)21-29-23-49-34(40-29)26(3)4)37(19-28-15-10-7-11-16-28,41-35(46)48-22-30-20-39-24-50-30)31(44)18-12-17-27-13-8-6-9-14-27/h6-11,13-16,20,23-26,31-32,44H,12,17-19,21-22H2,1-5H3,(H2,38,45)(H,41,46)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,2,7,0,2,1,5,9,6,18,9,9,18,0,4,6,20,2,0,0,2,0,0,2,0,1,1,0,2,2,1,0,5,3,0,0,3,9,1,2,5,1,0,4,0,0,0,1,5,1,1,0,4,0,0,0,0,3,3,0,0,22,14,0,0,0,1,4,0,36,0,1,5,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-24(2)33(34(38)45)43(37(47)42(5)20-28-22-49-35(40-28)25(3)4)29(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-36(46)48-21-30-19-39-23-50-30/h6-15,19,22-25,29,31-33,44H,16-18,20-21H2,1-5H3,(H2,38,45)(H,41,46)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,2,7,0,2,1,5,6,6,0,9,0,0,0,4,6,22,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,5,2,0,0,3,12,1,2,5,1,0,4,0,0,0,1,5,1,1,0,2,0,0,0,0,3,3,0,0,22,14,0,0,0,1,4,0,30,0,1,5,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-24(2)33(34(38)45)43(37(47)42(5)19-28-22-50-35(40-28)25(3)4)30(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-36(46)48-20-29-21-49-23-39-29/h6-15,21-25,30-33,44H,16-20H2,1-5H3,(H2,38,45)(H,41,46)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,2,7,0,2,1,5,6,6,0,9,0,0,0,4,6,22,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,5,3,0,0,3,15,1,2,5,1,0,4,0,0,0,1,5,1,1,0,1,0,0,0,0,3,3,0,0,22,14,0,0,0,1,4,0,30,0,1,5,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-24(2)33(41-36(46)42(5)21-29-22-49-35(40-29)25(3)4)34(45)39-28(17-26-13-9-7-10-14-26)19-31(44)30(18-27-15-11-8-12-16-27)43(6)37(47)48-32-20-38-23-50-32/h7-16,20,22-25,28,30-31,33,44H,17-19,21H2,1-6H3,(H,39,45)(H,41,46)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,0,2,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,2,8,0,2,1,5,6,9,0,9,0,0,3,4,6,25,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,5,3,0,0,3,12,0,2,5,1,2,4,0,0,0,1,5,1,1,0,2,0,0,0,0,0,3,2,0,22,14,0,0,0,0,4,0,24,0,1,6,0,3,3,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-37(2,3)48-35(47)42-29(19-25-14-8-5-9-15-25)33(45)41-30(20-26-21-38-23-39-26)34(46)40-28(18-24-12-6-4-7-13-24)31(44)22-49-36-43-27-16-10-11-17-32(27)50-36/h5,8-11,14-17,21,23-24,28-31,44H,4,6-7,12-13,18-20,22H2,1-3H3,(H,38,39)(H,40,46)(H,41,45)(H,42,47)",1,2,18,0,0,0,0,2,5,0,2,2,0,0,2,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,5,0,0,0,6,0,0,0,0,0,0,2,0,0,3,3,0,0,0,6,9,9,36,60,44,36,0,4,6,17,3,0,0,1,2,0,0,0,0,1,0,1,3,1,0,4,3,0,0,0,12,1,3,5,0,0,5,0,0,0,4,4,2,1,0,0,0,0,0,0,0,3,0,0,20,12,0,0,0,0,4,0,29,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0,4,26,0,0,2,3,0,0,0,0,0,36,2,0,0,0
"InChI=1S/C37H48N6O5S2/c1-25(2)35-40-31(23-49-35)21-43(4)36(45)42-33(26(3)47-5)34(44)39-29(18-27-12-8-6-9-13-27)16-17-30(19-28-14-10-7-11-15-28)41-37(46)48-22-32-20-38-24-50-32/h6-15,20,23-26,29-30,33H,16-19,21-22H2,1-5H3,(H,39,44)(H,41,46)(H,42,45)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,1,0,7,6,12,9,18,0,9,0,4,6,22,3,0,0,1,0,0,0,0,1,1,0,1,2,0,0,5,2,0,0,3,15,0,2,5,0,0,5,0,0,0,1,5,1,1,0,2,0,0,0,1,3,0,0,0,22,14,0,0,0,0,4,0,36,0,1,5,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-5-43(17-16-29-23-49-35(41-29)25(2)3)36(46)39-26(4)34(45)40-30(18-27-12-8-6-9-13-27)20-33(44)32(19-28-14-10-7-11-15-28)42-37(47)48-22-31-21-38-24-50-31/h6-15,21,23-26,30,32-33,44H,5,16-20,22H2,1-4H3,(H,39,46)(H,40,45)(H,42,47)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,9,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,3,6,0,1,0,6,12,15,9,18,0,9,3,4,6,22,3,0,0,1,0,0,0,0,1,1,0,1,1,1,0,5,2,0,0,6,15,0,2,5,0,0,5,0,0,0,1,5,1,1,0,2,0,0,0,0,3,3,0,0,22,14,0,0,0,0,4,0,42,0,1,4,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
"InChI=1S/C37H48N6O5S2/c1-5-12-33-39-29(23-49-33)21-43(4)36(46)42-34(25(2)3)35(45)40-28(17-26-13-8-6-9-14-26)19-32(44)31(18-27-15-10-7-11-16-27)41-37(47)48-22-30-20-38-24-50-30/h6-11,13-16,20,23-25,28,31-32,34,44H,5,12,17-19,21-22H2,1-4H3,(H,40,45)(H,41,47)(H,42,46)",1,2,16,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,3,6,0,1,0,6,9,12,9,9,9,9,0,4,6,22,3,0,0,1,0,0,0,0,1,1,0,1,2,0,0,5,2,0,0,3,15,0,2,5,0,0,5,0,0,0,1,5,1,1,0,2,0,0,0,0,3,3,0,0,22,14,0,0,0,0,4,0,42,0,1,4,3,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,0,0,2,2,0,0,0,0,0,14,0,0,0,0
