C	score	target_system	training_systems
0.0010	0.6485	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6485	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7425	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7654	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7601	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7616	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6749	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6401	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6401	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7469	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7692	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7683	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7522	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6708	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6362	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6362	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7525	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7873	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7760	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7701	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6695	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6370	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6370	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7450	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7763	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7683	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7580	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6663	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6338	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6338	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7385	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7700	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7633	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7571	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6601	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6232	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6232	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7205	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7501	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7436	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7427	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6594	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6258	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6258	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7492	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7816	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7730	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7630	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6564	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6413	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6413	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7486	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7714	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7638	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7586	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6641	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6369	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6369	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7429	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7730	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7700	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7603	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6655	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6080	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6080	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7203	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7598	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7557	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7459	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6269	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6301	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6301	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7429	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7535	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7483	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7495	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6673	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6306	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6306	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7466	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7716	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7733	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7626	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6681	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6456	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6456	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7503	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7686	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7624	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7580	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6799	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6103	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6103	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7402	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7567	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7498	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7516	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6441	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6255	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6255	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7471	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7820	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7784	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7720	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6556	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6389	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6389	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7438	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7721	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7593	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7653	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6636	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6371	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6371	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7423	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7648	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7558	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7561	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6692	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6268	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6268	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7501	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7686	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7630	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7601	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6700	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6233	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6233	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7526	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7913	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7811	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7728	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6574	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6165	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6165	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7319	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7656	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7621	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7486	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6509	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6217	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6217	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7602	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7517	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7487	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6400	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6287	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6287	Eawag_XBridgeC18	Eawag_XBridgeC18
