target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	0.6176	0.0217	0.6172	0.0219
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	0.6621	0.0197	0.6617	0.0198
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	0.7338	0.0118	0.7336	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	0.8131	0.0083	0.8129	0.0083
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	0.8513	0.0051	0.8513	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0.0000	inf	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	0.6176	0.0217	0.6172	0.0219
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	0.6621	0.0197	0.6617	0.0198
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	0.7338	0.0118	0.7336	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	0.8131	0.0083	0.8129	0.0083
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1.0000	16.0000	0.8513	0.0051	0.8513	0.0052
