target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	1	0.6176	0.0217	0.6172	0.0219
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	2	0.6621	0.0197	0.6617	0.0198
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	4	0.7338	0.0118	0.7336	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	8	0.8131	0.0083	0.8129	0.0083
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	16	0.8513	0.0051	0.8513	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	32	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	64	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	0	Inf	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	1	0.6176	0.0217	0.6172	0.0219
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	2	0.6621	0.0197	0.6617	0.0198
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	4	0.7338	0.0118	0.7336	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	8	0.8131	0.0083	0.8129	0.0083
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	16	0.8513	0.0051	0.8513	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	32	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	64	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	1	Inf	0.8516	0.0051	0.8517	0.0052
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	4	0.8157	0.018	0.8158	0.0175
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	8	0.8811	0.011	0.881	0.011
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	16	0.9086	0.007	0.9089	0.0071
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	32	0.9089	0.007	0.9092	0.0071
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	64	0.9089	0.007	0.9092	0.0071
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	3	Inf	0.9089	0.007	0.9092	0.0071
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	5	8	0.9236	0.0138	0.9233	0.0139
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	5	16	0.9421	0.0082	0.9427	0.0079
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	5	32	0.9424	0.0082	0.943	0.0079
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	5	64	0.9424	0.0082	0.943	0.0079
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	5	Inf	0.9424	0.0082	0.943	0.0079
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	7	8	0.9475	0.0104	0.9476	0.0101
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	7	16	0.959	0.0075	0.9599	0.0065
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	7	32	0.9592	0.0075	0.9602	0.0065
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	7	64	0.9592	0.0075	0.9602	0.0065
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	7	Inf	0.9592	0.0075	0.9602	0.0065
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	9	16	0.9654	0.0077	0.9667	0.0057
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	9	32	0.9657	0.0077	0.9671	0.0057
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	9	64	0.9657	0.0077	0.9671	0.0057
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	9	Inf	0.9657	0.0077	0.9671	0.0057
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	11	16	0.9668	0.0086	0.9687	0.0063
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	11	32	0.9673	0.0086	0.9692	0.0063
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	11	64	0.9673	0.0086	0.9692	0.0063
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	11	Inf	0.9673	0.0086	0.9692	0.0063
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	13	16	0.9671	0.0116	0.9698	0.0113
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	13	32	0.9681	0.0115	0.9707	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	13	64	0.9681	0.0115	0.9707	0.0116
RIKEN	Eawag_XBridgeC18;FEM_long;UFZ_Phenomenex;LIFE_old	13	Inf	0.9681	0.0115	0.9707	0.0116
