target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	27.3800	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	0.6479	0.6479
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	53.7600	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	1.2958	1.2958
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	103.5300	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	2.6570	2.6570
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	190.7800	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	4.7537	4.7537
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	315.8500	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	6.7261	6.7261
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	380.5100	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	8.4273	8.4273
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	380.5100	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	8.4273	8.4273
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	6.7000	0.2383	750.8100	28.1000	25335.8400	380.5100	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	8.4273	8.4273
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	27.3800	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	0.6479	0.6479
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	53.7600	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	1.2958	1.2958
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	103.5300	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	2.6570	2.6570
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	6.7000	0.2383	750.8100	28.1000	25335.8400	190.7800	46.9105	2.3805	0.0842	2.4810	0.3015	26.6643	4.7537	4.7537
