target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	1	0	0	903.94	19.2	27434.15	19.26	68.1077	0	0	3.0677	0.402	207.4877	1.1247	1.1247
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	2	0	0	903.94	19.2	27434.15	37.35	68.1077	0	0	3.0677	0.402	207.4877	2.0069	2.0069
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	4	0	0	903.94	19.2	27434.15	70.33	68.1077	0	0	3.0677	0.402	207.4877	3.8588	3.8588
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	8	0	0	903.94	19.2	27434.15	122.57	68.1077	0	0	3.0677	0.402	207.4877	5.9768	5.9768
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	16	0	0	903.94	19.2	27434.15	171.93	68.1077	0	0	3.0677	0.402	207.4877	6.7544	6.7544
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	32	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	64	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	Inf	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	1	0	0	903.94	19.2	27434.15	19.26	68.1077	0	0	3.0677	0.402	207.4877	1.1247	1.1247
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	2	0	0	903.94	19.2	27434.15	37.35	68.1077	0	0	3.0677	0.402	207.4877	2.0069	2.0069
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	4	0	0	903.94	19.2	27434.15	70.33	68.1077	0	0	3.0677	0.402	207.4877	3.8588	3.8588
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	8	0	0	903.94	19.2	27434.15	122.57	68.1077	0	0	3.0677	0.402	207.4877	5.9768	5.9768
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	16	0	0	903.94	19.2	27434.15	171.93	68.1077	0	0	3.0677	0.402	207.4877	6.7544	6.7544
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	32	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	64	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	Inf	0	0	903.94	19.2	27434.15	173.81	68.1077	0	0	3.0677	0.402	207.4877	7.7377	7.7377
