C	score	target_system	training_systems
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.0100	0.7086	UFZ_Phenomenex	Eawag_XBridgeC18
0.1000	0.8269	UFZ_Phenomenex	Eawag_XBridgeC18
1.0000	0.8466	UFZ_Phenomenex	Eawag_XBridgeC18
10.0000	0.8459	UFZ_Phenomenex	Eawag_XBridgeC18
100.0000	0.8333	UFZ_Phenomenex	Eawag_XBridgeC18
1000.0000	0.7533	UFZ_Phenomenex	Eawag_XBridgeC18
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7253	UFZ_Phenomenex	FEM_long
0.0100	0.7253	UFZ_Phenomenex	FEM_long
0.1000	0.8639	UFZ_Phenomenex	FEM_long
1.0000	0.9042	UFZ_Phenomenex	FEM_long
10.0000	0.9063	UFZ_Phenomenex	FEM_long
100.0000	0.9061	UFZ_Phenomenex	FEM_long
1000.0000	0.8087	UFZ_Phenomenex	FEM_long
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
0.0010	0.7177	UFZ_Phenomenex	RIKEN
0.0100	0.7177	UFZ_Phenomenex	RIKEN
0.1000	0.8155	UFZ_Phenomenex	RIKEN
1.0000	0.8422	UFZ_Phenomenex	RIKEN
10.0000	0.8396	UFZ_Phenomenex	RIKEN
100.0000	0.8149	UFZ_Phenomenex	RIKEN
1000.0000	0.7236	UFZ_Phenomenex	RIKEN
