target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
LIFE_old	Eawag_XBridgeC18	0.0000	1.0000	0.5420	0.0000	0.5420	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	2.0000	0.5134	0.0000	0.5134	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	4.0000	0.5192	0.0000	0.5192	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	8.0000	0.5392	0.0000	0.5392	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	16.0000	0.5827	0.0000	0.5827	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	32.0000	0.6549	0.0000	0.6549	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	64.0000	0.7319	0.0000	0.7319	0.0000
LIFE_old	Eawag_XBridgeC18	0.0000	inf	0.7902	0.0000	0.7902	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	1.0000	0.5420	0.0000	0.5420	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	2.0000	0.5134	0.0000	0.5134	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	4.0000	0.5192	0.0000	0.5192	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	8.0000	0.5392	0.0000	0.5392	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	16.0000	0.5827	0.0000	0.5827	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	32.0000	0.6549	0.0000	0.6549	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	64.0000	0.7319	0.0000	0.7319	0.0000
LIFE_old	Eawag_XBridgeC18	1.0000	inf	0.7902	0.0000	0.7902	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	4.0000	0.5251	0.0000	0.5251	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	8.0000	0.5481	0.0000	0.5481	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	16.0000	0.5934	0.0000	0.5934	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	32.0000	0.6659	0.0000	0.6659	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	64.0000	0.7416	0.0000	0.7416	0.0000
LIFE_old	Eawag_XBridgeC18	3.0000	inf	0.7996	0.0000	0.7996	0.0000
LIFE_old	Eawag_XBridgeC18	5.0000	8.0000	0.5600	0.0000	0.5600	0.0000
