C	target_system	training_systems
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
1	LIFE_old	Eawag_XBridgeC18
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
10	LIFE_old	FEM_long
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	RIKEN
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	UFZ_Phenomenex
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
100	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
1	LIFE_old	LIFE_old
10	LIFE_old	LIFE_old
