C	score	target_system	training_systems
0.0010	0.6819	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6819	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7516	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7692	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7755	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7672	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7089	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7140	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7140	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7599	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7780	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7748	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7705	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7311	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7408	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7408	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7966	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8291	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8246	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8123	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7642	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6876	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6876	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7404	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7663	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7663	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7730	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7115	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7115	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7621	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7935	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7824	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7692	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7338	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7036	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7036	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7745	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7884	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7834	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7725	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7176	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6957	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6957	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7663	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7935	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7946	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7696	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7163	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7193	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7193	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7901	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7978	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8066	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7945	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7315	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6981	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6981	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7553	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8008	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8040	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7754	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7087	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7022	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7022	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7630	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7880	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7902	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7685	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7196	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6989	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6989	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7793	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.8130	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.8174	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7967	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7391	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7022	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7022	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7793	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7962	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7899	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.8004	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7455	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.7202	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.7202	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7751	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7983	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7983	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7920	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7413	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6920	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6920	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7305	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7591	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7580	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7393	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.7030	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6712	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6712	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.7640	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.7935	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.7956	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.7808	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.6934	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.6831	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.6831	Eawag_XBridgeC18	Eawag_XBridgeC18
