target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	1.0000	0.5064	0.0179	0.5064	0.0180
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	2.0000	0.5323	0.0184	0.5319	0.0182
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	4.0000	0.5627	0.0127	0.5622	0.0126
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	8.0000	0.6048	0.0201	0.6044	0.0202
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	16.0000	0.6563	0.0295	0.6555	0.0297
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	32.0000	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	64.0000	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	inf	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	1.0000	0.5064	0.0179	0.5064	0.0180
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	2.0000	0.5323	0.0184	0.5319	0.0182
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	4.0000	0.5627	0.0127	0.5622	0.0126
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	8.0000	0.6048	0.0201	0.6044	0.0202
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	16.0000	0.6563	0.0295	0.6555	0.0297
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	32.0000	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	64.0000	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	inf	0.6589	0.0295	0.6578	0.0298
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	4.0000	0.5971	0.0218	0.5963	0.0220
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	8.0000	0.6366	0.0274	0.6360	0.0276
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	16.0000	0.6906	0.0358	0.6894	0.0361
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	32.0000	0.6934	0.0356	0.6919	0.0361
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	64.0000	0.6934	0.0356	0.6919	0.0361
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	inf	0.6934	0.0356	0.6919	0.0361
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	8.0000	0.6615	0.0347	0.6610	0.0348
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	16.0000	0.7208	0.0419	0.7192	0.0423
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	32.0000	0.7240	0.0415	0.7219	0.0422
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	64.0000	0.7240	0.0415	0.7219	0.0422
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	inf	0.7240	0.0415	0.7219	0.0422
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	8.0000	0.6954	0.0313	0.6944	0.0317
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	16.0000	0.7548	0.0428	0.7524	0.0434
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	32.0000	0.7583	0.0422	0.7551	0.0432
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	64.0000	0.7583	0.0422	0.7551	0.0432
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	inf	0.7583	0.0422	0.7551	0.0432
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	16.0000	0.7834	0.0511	0.7802	0.0521
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	32.0000	0.7875	0.0499	0.7831	0.0519
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	64.0000	0.7875	0.0499	0.7831	0.0519
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	inf	0.7875	0.0499	0.7831	0.0519
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	16.0000	0.8119	0.0571	0.8077	0.0577
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	32.0000	0.8168	0.0546	0.8109	0.0570
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	64.0000	0.8168	0.0546	0.8109	0.0570
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	inf	0.8168	0.0546	0.8109	0.0570
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	16.0000	0.8189	0.0657	0.8126	0.0696
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	32.0000	0.8270	0.0617	0.8172	0.0686
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	64.0000	0.8270	0.0617	0.8172	0.0686
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	inf	0.8270	0.0617	0.8172	0.0686
