target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	1.0000	0.0000	0.0000	17.1000	19.2000	137.2900	19.2600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	1.1247	1.1247
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	2.0000	0.0000	0.0000	17.1000	19.2000	137.2900	37.3500	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	2.0069	2.0069
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	4.0000	0.0000	0.0000	17.1000	19.2000	137.2900	70.3300	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	3.8588	3.8588
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	8.0000	0.0000	0.0000	17.1000	19.2000	137.2900	122.5700	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	5.9768	5.9768
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	171.9300	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.7544	6.7544
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	1.0000	0.0000	0.0000	17.1000	19.2000	137.2900	19.2600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	1.1247	1.1247
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	2.0000	0.0000	0.0000	17.1000	19.2000	137.2900	37.3500	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	2.0069	2.0069
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	4.0000	0.0000	0.0000	17.1000	19.2000	137.2900	70.3300	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	3.8588	3.8588
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	8.0000	0.0000	0.0000	17.1000	19.2000	137.2900	122.5700	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	5.9768	5.9768
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	171.9300	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.7544	6.7544
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	173.8100	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.7377	7.7377
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	4.0000	0.0000	0.0000	17.1000	19.2000	137.2900	32.9800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	1.9642	1.9642
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	8.0000	0.0000	0.0000	17.1000	19.2000	137.2900	85.2200	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	4.2058	4.2058
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	134.5800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.3216	6.3216
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	136.4600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.5911	7.5911
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	136.4600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.5911	7.5911
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	136.4600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.5911	7.5911
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	8.0000	0.0000	0.0000	17.1000	19.2000	137.2900	52.2400	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	2.5391	2.5391
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	101.6000	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.4307	6.4307
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	103.4800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.8425	7.8425
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	103.4800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.8425	7.8425
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	103.4800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.8425	7.8425
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	8.0000	0.0000	0.0000	17.1000	19.2000	137.2900	23.8300	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	1.2314	1.2314
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	73.1900	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.4771	6.4771
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	75.0700	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.9408	7.9408
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	75.0700	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.9408	7.9408
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	75.0700	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.9408	7.9408
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	49.3600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.1767	6.1767
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	51.2400	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.6451	7.6451
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	51.2400	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.6451	7.6451
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	51.2400	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	7.6451	7.6451
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	30.1800	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	5.3284	5.3284
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	32.0000	0.0000	0.0000	17.1000	19.2000	137.2900	32.0600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.8162	6.8162
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	64.0000	0.0000	0.0000	17.1000	19.2000	137.2900	32.0600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.8162	6.8162
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	inf	0.0000	0.0000	17.1000	19.2000	137.2900	32.0600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	6.8162	6.8162
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	16.0000	0.0000	0.0000	17.1000	19.2000	137.2900	15.6600	13.3770	0.0000	0.0000	1.1146	0.4020	17.6402	3.8250	3.8250
