target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
FEM_long	FEM_long	0	1	0.6128	0.0148	0.613	0.0147
FEM_long	FEM_long	0	2	0.6628	0.0081	0.6631	0.0079
FEM_long	FEM_long	0	4	0.7254	0.0101	0.7256	0.01
FEM_long	FEM_long	0	8	0.8017	0.0109	0.8018	0.0109
FEM_long	FEM_long	0	16	0.8663	0.0092	0.8664	0.0091
FEM_long	FEM_long	0	32	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	0	64	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	0	Inf	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	1	1	0.6128	0.0148	0.613	0.0147
FEM_long	FEM_long	1	2	0.6628	0.0081	0.6631	0.0079
FEM_long	FEM_long	1	4	0.7254	0.0101	0.7256	0.01
FEM_long	FEM_long	1	8	0.8017	0.0109	0.8018	0.0109
FEM_long	FEM_long	1	16	0.8663	0.0092	0.8664	0.0091
FEM_long	FEM_long	1	32	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	1	64	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	1	Inf	0.8884	0.008	0.8884	0.0079
FEM_long	FEM_long	3	4	0.7931	0.0144	0.7931	0.0142
FEM_long	FEM_long	3	8	0.8562	0.0128	0.8563	0.0128
FEM_long	FEM_long	3	16	0.9081	0.0098	0.9081	0.0098
FEM_long	FEM_long	3	32	0.9255	0.0084	0.9255	0.0084
FEM_long	FEM_long	3	64	0.9255	0.0084	0.9255	0.0084
FEM_long	FEM_long	3	Inf	0.9255	0.0084	0.9255	0.0084
FEM_long	FEM_long	5	8	0.8922	0.0134	0.8923	0.0135
FEM_long	FEM_long	5	16	0.935	0.0094	0.935	0.0094
FEM_long	FEM_long	5	32	0.9493	0.0079	0.9493	0.0079
FEM_long	FEM_long	5	64	0.9493	0.0079	0.9493	0.0079
FEM_long	FEM_long	5	Inf	0.9493	0.0079	0.9493	0.0079
FEM_long	FEM_long	7	8	0.916	0.0166	0.9161	0.0167
FEM_long	FEM_long	7	16	0.9527	0.0091	0.9527	0.009
FEM_long	FEM_long	7	32	0.9648	0.0074	0.9648	0.0073
FEM_long	FEM_long	7	64	0.9648	0.0074	0.9648	0.0073
FEM_long	FEM_long	7	Inf	0.9648	0.0074	0.9648	0.0073
FEM_long	FEM_long	9	16	0.9649	0.0071	0.9649	0.007
FEM_long	FEM_long	9	32	0.9755	0.0057	0.9755	0.0057
FEM_long	FEM_long	9	64	0.9755	0.0057	0.9755	0.0057
FEM_long	FEM_long	9	Inf	0.9755	0.0057	0.9755	0.0057
FEM_long	FEM_long	11	16	0.9741	0.0069	0.9741	0.0069
FEM_long	FEM_long	11	32	0.9834	0.0054	0.9834	0.0054
FEM_long	FEM_long	11	64	0.9834	0.0054	0.9834	0.0054
FEM_long	FEM_long	11	Inf	0.9834	0.0054	0.9834	0.0054
FEM_long	FEM_long	13	16	0.9806	0.005	0.9806	0.005
FEM_long	FEM_long	13	32	0.989	0.004	0.989	0.004
FEM_long	FEM_long	13	64	0.989	0.004	0.989	0.004
FEM_long	FEM_long	13	Inf	0.989	0.004	0.989	0.004
RIKEN	RIKEN	0	1	0.5888	0.0234	0.5882	0.0227
RIKEN	RIKEN	0	2	0.6284	0.022	0.6277	0.0218
RIKEN	RIKEN	0	4	0.6966	0.0192	0.696	0.019
RIKEN	RIKEN	0	8	0.7774	0.014	0.7772	0.014
RIKEN	RIKEN	0	16	0.8228	0.0097	0.8231	0.0098
RIKEN	RIKEN	0	32	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	0	64	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	0	Inf	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	1	1	0.5888	0.0234	0.5882	0.0227
RIKEN	RIKEN	1	2	0.6284	0.022	0.6277	0.0218
RIKEN	RIKEN	1	4	0.6966	0.0192	0.696	0.019
RIKEN	RIKEN	1	8	0.7774	0.014	0.7772	0.014
RIKEN	RIKEN	1	16	0.8228	0.0097	0.8231	0.0098
RIKEN	RIKEN	1	32	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	1	64	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	1	Inf	0.8232	0.0096	0.8235	0.0096
RIKEN	RIKEN	3	4	0.7746	0.0215	0.774	0.0213
RIKEN	RIKEN	3	8	0.8445	0.0139	0.8445	0.0138
RIKEN	RIKEN	3	16	0.8818	0.0094	0.8823	0.0092
RIKEN	RIKEN	3	32	0.882	0.0092	0.8826	0.009
RIKEN	RIKEN	3	64	0.882	0.0092	0.8826	0.009
RIKEN	RIKEN	3	Inf	0.882	0.0092	0.8826	0.009
RIKEN	RIKEN	5	8	0.8898	0.0115	0.8901	0.0113
RIKEN	RIKEN	5	16	0.9204	0.0076	0.9211	0.0072
RIKEN	RIKEN	5	32	0.9206	0.0073	0.9213	0.0069
RIKEN	RIKEN	5	64	0.9206	0.0073	0.9213	0.0069
RIKEN	RIKEN	5	Inf	0.9206	0.0073	0.9213	0.0069
RIKEN	RIKEN	7	8	0.9201	0.0138	0.9204	0.0136
RIKEN	RIKEN	7	16	0.9449	0.0082	0.9455	0.0075
RIKEN	RIKEN	7	32	0.9451	0.008	0.9457	0.0073
RIKEN	RIKEN	7	64	0.9451	0.008	0.9457	0.0073
RIKEN	RIKEN	7	Inf	0.9451	0.008	0.9457	0.0073
RIKEN	RIKEN	9	16	0.9589	0.0109	0.9596	0.0097
RIKEN	RIKEN	9	32	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	9	64	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	9	Inf	0.959	0.0106	0.9598	0.0094
RIKEN	RIKEN	11	16	0.9719	0.0121	0.9731	0.0124
RIKEN	RIKEN	11	32	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	11	64	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	11	Inf	0.9719	0.0117	0.9732	0.0122
RIKEN	RIKEN	13	16	0.9775	0.0146	0.9781	0.0155
RIKEN	RIKEN	13	32	0.9774	0.0142	0.9781	0.0153
RIKEN	RIKEN	13	64	0.9774	0.0142	0.9781	0.0153
RIKEN	RIKEN	13	Inf	0.9774	0.0142	0.9781	0.0153
Eawag_XBridgeC18	Eawag_XBridgeC18	0	1	0.5534	0.0124	0.5535	0.0122
Eawag_XBridgeC18	Eawag_XBridgeC18	0	2	0.5809	0.01	0.5807	0.01
Eawag_XBridgeC18	Eawag_XBridgeC18	0	4	0.625	0.0068	0.6246	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	0	8	0.6952	0.0066	0.6945	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	0	16	0.7789	0.0089	0.7786	0.0092
Eawag_XBridgeC18	Eawag_XBridgeC18	0	32	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	0	64	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	0	Inf	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	1	0.5534	0.0124	0.5535	0.0122
Eawag_XBridgeC18	Eawag_XBridgeC18	1	2	0.5809	0.01	0.5807	0.01
Eawag_XBridgeC18	Eawag_XBridgeC18	1	4	0.625	0.0068	0.6246	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	1	8	0.6952	0.0066	0.6945	0.007
Eawag_XBridgeC18	Eawag_XBridgeC18	1	16	0.7789	0.0089	0.7786	0.0092
Eawag_XBridgeC18	Eawag_XBridgeC18	1	32	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	64	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	1	Inf	0.8129	0.0081	0.8128	0.0081
Eawag_XBridgeC18	Eawag_XBridgeC18	3	4	0.6723	0.0085	0.6717	0.0087
Eawag_XBridgeC18	Eawag_XBridgeC18	3	8	0.7395	0.0093	0.7387	0.0097
