target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	34.8600	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	2.8856	2.8856
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	68.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	5.6252	5.6252
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	132.2000	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	10.2499	10.2499
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	244.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	18.4681	18.4681
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	402.4400	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	21.1459	21.1459
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	482.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	14.7942	14.7942
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	482.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	14.7942	14.7942
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	0.0000	0.0000	685.7000	31.7000	-1.0000	482.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	14.7942	14.7942
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	34.8600	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	2.8856	2.8856
Eawag_XBridgeC18	FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	0.0000	0.0000	685.7000	31.7000	-1.0000	68.5200	15.2158	0.0000	0.0000	2.5173	0.4629	0.0000	5.6252	5.6252
