target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	18.5000	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	1.7053	1.7053
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	35.8200	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	2.8692	2.8692
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	67.3000	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.6070	5.6070
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	115.1800	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	7.0441	7.0441
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	152.9400	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.1997	5.1997
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	153.3600	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.6560	5.6560
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	153.3600	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.6560	5.6560
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	0.0000	0.0000	927.9000	18.1000	-1.0000	153.3600	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.6560	5.6560
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	18.5000	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	1.7053	1.7053
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	35.8200	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	2.8692	2.8692
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	67.3000	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	5.6070	5.6070
RIKEN	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	0.0000	0.0000	927.9000	18.1000	-1.0000	115.1800	21.8209	0.0000	0.0000	0.3030	0.3030	0.0000	7.0441	7.0441
