C	epsilon	target_system	training_systems
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1000	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1000	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1000	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1000	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1500	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.0100	MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18
