target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	5.0880	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3813	0.3813
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	9.0880	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3596	0.3596
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	13.9600	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3213	0.3213
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	5.0880	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3813	0.3813
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	9.0880	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3596	0.3596
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	13.9600	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.3213	0.3213
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
MTBLS17	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	16.0000	0.0000	0.0000	944.6000	6.0000	-1.0000	14.8240	22.5597	0.0000	0.0000	0.9333	0.0000	0.0000	0.5398	0.5398
