target_system	training_system	score	score_std
MTBLS39	RIKEN;LIFE_old;MTBLS52	0.9104	0.0932
IPB_Halle	RIKEN;LIFE_old;MTBLS52	0.7501	0.0859
MTBLS4	RIKEN;LIFE_old;MTBLS52	0.5944	0.1014
MTBLS36	RIKEN;LIFE_old;MTBLS52	0.7425	0.0871
FEM_long	RIKEN;LIFE_old;MTBLS52	0.7445	0.0484
FEM_orbitrap_plasma	RIKEN;LIFE_old;MTBLS52	0.7005	0.1043
MTBLS52	RIKEN;LIFE_old;MTBLS52	0.636	0.1526
MTBLS20	RIKEN;LIFE_old;MTBLS52	0.7549	0.1051
UniToyama_Atlantis	RIKEN;LIFE_old;MTBLS52	0.6404	0.1051
MTBLS19	RIKEN;LIFE_old;MTBLS52	0.5194	0.1727
UFZ_Phenomenex	RIKEN;LIFE_old;MTBLS52	0.6131	0.0682
MTBLS17	RIKEN;LIFE_old;MTBLS52	0.5954	0.1645
FEM_lipids	RIKEN;LIFE_old;MTBLS52	0.4916	0.0866
LIFE_old	RIKEN;LIFE_old;MTBLS52	0.8014	0.0848
MPI_Symmetry	RIKEN;LIFE_old;MTBLS52	0.6092	0.112
LIFE_new	RIKEN;LIFE_old;MTBLS52	0.811	0.0778
FEM_short	RIKEN;LIFE_old;MTBLS52	0.6728	0.0703
RIKEN	RIKEN;LIFE_old;MTBLS52	0.7534	0.0648
MTBLS38	RIKEN;LIFE_old;MTBLS52	0.7289	0.0783
FEM_orbitrap_urine	RIKEN;LIFE_old;MTBLS52	0.7423	0.0789
Eawag_XBridgeC18	RIKEN;LIFE_old;MTBLS52	0.5466	0.0521
