target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
MTBLS39	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.7122	0.2191	0.8138	0.1757
IPB_Halle	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3149	0.1552	0.4398	0.1983
FEM_long	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3902	0.1336	0.5406	0.1586
MTBLS36	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3614	0.198	0.4703	0.2381
FEM_orbitrap_plasma	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.486	0.1979	0.617	0.2117
MTBLS20	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.4771	0.2181	0.601	0.2268
FEM_lipids	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.5365	0.1574	0.6549	0.169
MTBLS17	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.4389	0.2759	0.5509	0.2997
MTBLS19	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.4002	0.2859	0.4895	0.3409
RIKEN	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.2166	0.1747	0.3055	0.2258
UFZ_Phenomenex	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.2952	0.1599	0.4049	0.2156
LIFE_new	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3958	0.1849	0.5207	0.2224
MTBLS4	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.316	0.2362	0.4102	0.283
LIFE_old	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3929	0.1943	0.5365	0.2336
MPI_Symmetry	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.0631	0.2547	0.0896	0.3382
MTBLS52	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.2798	0	0.3652	0
MTBLS38	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.2754	0.2366	0.3881	0.2902
FEM_orbitrap_urine	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.5583	0.1575	0.6989	0.1672
UniToyama_Atlantis	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.317	0.2192	0.4215	0.2849
FEM_short	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.3631	0.189	0.4874	0.2385
Eawag_XBridgeC18	FEM_lipids;LIFE_new;LIFE_old;MTBLS20	0.2445	0.1473	0.3303	0.2024
