C	epsilon	target_system	training_systems
100	0.25	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.025	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.25	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.01	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.025	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.01	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.5	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.1	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.25	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.25	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.1	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.05	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.025	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.5	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
10	0.15	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
100	0.01	FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18
