C	epsilon	score	target_system	training_systems
0.001	0.01	-0.1031	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.025	-0.1033	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.05	-0.1036	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.1	-0.1041	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.15	-0.1037	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.25	-0.1	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.5	-0.0962	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	1	-0.0877	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	1.5	-0.0744	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	2	-0.0667	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.01	-0.1	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.025	-0.1002	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.05	-0.1004	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.1	-0.0995	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.15	-0.0989	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.25	-0.0974	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.5	-0.0919	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	1	-0.0845	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	1.5	-0.072	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	2	-0.0618	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.01	-0.0676	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.025	-0.068	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.05	-0.0683	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.1	-0.069	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.15	-0.0686	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.25	-0.0686	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.5	-0.0695	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	1	-0.0514	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	1.5	-0.0437	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	2	-0.0267	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.01	0.0693	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.025	0.0696	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.05	0.0703	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.1	0.0717	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.15	0.0729	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.25	0.0757	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.5	0.0819	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	1	0.0903	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	1.5	0.0981	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	2	0.1084	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.01	0.1883	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.025	0.1887	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.05	0.1894	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.1	0.1907	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.15	0.1921	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.25	0.1951	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.5	0.2015	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	1	0.2184	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	1.5	0.2391	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	2	0.2558	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.01	0.1092	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.025	0.1098	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.05	0.1107	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.1	0.1125	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.15	0.1144	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.25	0.1183	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	0.5	0.1278	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	1	0.1467	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	1.5	0.1662	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
100	2	0.1812	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.01	-0.1054	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.025	-0.1054	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.05	-0.1054	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.1	-0.1036	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.15	-0.1044	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.25	-0.1005	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	0.5	-0.0943	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	1	-0.0872	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	1.5	-0.071	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.001	2	-0.0625	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.01	-0.1016	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.025	-0.1016	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.05	-0.1015	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.1	-0.1007	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.15	-0.0995	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.25	-0.0963	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	0.5	-0.0919	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	1	-0.0827	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	1.5	-0.0683	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.01	2	-0.058	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.01	-0.0662	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.025	-0.0665	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.05	-0.0671	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.1	-0.0676	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.15	-0.068	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.25	-0.0692	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	0.5	-0.0678	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	1	-0.0487	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	1.5	-0.0392	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
0.1	2	-0.0239	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.01	0.0712	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.025	0.0713	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.05	0.0713	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.1	0.0712	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.15	0.0715	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.25	0.0724	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	0.5	0.0751	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	1	0.0854	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	1.5	0.0954	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
1	2	0.1028	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.01	0.1863	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
10	0.025	0.1866	UFZ_Phenomenex	Eawag_XBridgeC18;UFZ_Phenomenex
