target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MPI_Symmetry	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367.552	10	-1	45	10.0702	0	0	0.5744	0	0	0	0
RIKEN	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367	18.1	-1	153.58	10.1884	0	0	1.0302	0.303	0	5.6931	5.6931
IPB_Halle	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.504	14	-1	90.408	10.4342	0	0	1.005	0	0	0.8141	0.8141
FEM_long	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	365.9	28.1	-1	380.3	19.2659	0	0	1.2495	0.303	0	8.4207	8.4207
MTBLS36	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367.136	12	-1	66	10.1919	0	0	0.8166	0	0	0	0
MTBLS38	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.928	10	-1	45	10.3165	0	0	0.8248	0	0	0	0
LIFE_new	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.8	10.6	-1	50.94	18.9484	0	0	1.1606	0.4949	0	4.9463	4.9463
MTBLS39	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	368	18	-1	153	10.7828	0	0	0	0	0	0	0
MTBLS52	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	368	19	-1	171	10.0114	0	0	0	0	0	0	0
MTBLS17	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367.208	6	-1	14.672	10.0992	0	0	0.7545	0	0	0.6193	0.6193
FEM_orbitrap_plasma	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	365	7.9	-1	27.3	14.3111	0	0	1.1249	0.303	0	2.1213	2.1213
FEM_orbitrap_urine	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	355	13	-1	77.656	10.0895	0	0	0	0	0	0.5694	0.5694
UniToyama_Atlantis	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367.8	9.9	-1	44.1	10.1564	0	0	0.4041	0.303	0	2.7274	2.7274
MTBLS20	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	367.2	7.9	-1	26.74	10.3455	0	0	0.833	0.303	0	2.284	2.284
FEM_short	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.992	17	-1	135.752	12.1829	0	0	0.8279	0	0	0.4518	0.4518
MTBLS19	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.344	7	-1	20.968	10.1247	0	0	0.9927	0	0	0.1767	0.1767
Eawag_XBridgeC18	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	336.3	31.7	-1	483.38	10.4341	0	0	0.4629	0.4629	0	14.3739	14.3739
UFZ_Phenomenex	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	361.6	19.2	-1	173.72	10.1394	0	0	1.8952	0.4041	0	7.9669	7.9669
FEM_lipids	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	363.896	16	-1	119.28	10.719	0	0	1.5955	0	0	0.8854	0.8854
MTBLS4	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	368	34	-1	546	10.1611	0	0	0	0	0	0	0
LIFE_old	FEM_orbitrap_urine;Eawag_XBridgeC18	0	0	366.7	12.7	-1	74.32	20.7907	0	0	1.0351	0.4629	0	5.5968	5.5968
