target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	34.4800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	1.8653	1.8653
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	67.7200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	3.5688	3.5688
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	131.0800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	6.9776	6.9776
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	242.6200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	12.2072	12.2072
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	401.8000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	16.6341	16.6341
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	34.4800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	1.8653	1.8653
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	67.7200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	3.5688	3.5688
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	131.0800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	6.9776	6.9776
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	242.6200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	12.2072	12.2072
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	401.8000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	16.6341	16.6341
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	482.9600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.3398	14.3398
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	2.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	33.2400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	1.8357	1.8357
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	4.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	96.6000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	5.2411	5.2411
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	208.1400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	10.5946	10.5946
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	367.3200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	15.1637	15.1637
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	448.4800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.1828	14.1828
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	448.4800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.1828	14.1828
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	448.4800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.1828	14.1828
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	4.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	63.3600	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	3.5615	3.5615
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	174.9000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	8.9540	8.9540
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	334.0800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	13.5765	13.5765
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	415.2400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	13.9789	13.9789
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	415.2400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	13.9789	13.9789
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	415.2400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	13.9789	13.9789
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	4.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	31.1000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	1.8211	1.8211
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	142.6400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	7.2780	7.2780
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	301.8200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	12.0960	12.0960
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	382.9800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.2464	14.2464
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	382.9800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.2464	14.2464
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	4.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	382.9800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.2464	14.2464
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	111.5400	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	5.7079	5.7079
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	270.7200	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	10.6886	10.6886
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	32.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	351.8800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.4599	14.4599
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	64.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	351.8800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.4599	14.4599
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	inf	0.0000	0.0000	731.7800	31.7000	-1.0000	351.8800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	14.4599	14.4599
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	6.0000	8.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	81.7000	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	4.3530	4.3530
Eawag_XBridgeC18	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	6.0000	16.0000	0.0000	0.0000	731.7800	31.7000	-1.0000	240.8800	16.6812	0.0000	0.0000	5.8320	0.4629	0.0000	9.4300	9.4300
