target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	1.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	5.1760	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.4029	0.4029
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	2.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.2240	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5368	0.5368
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	4.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	13.9680	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.2520	0.2520
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	8.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	16.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	32.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	64.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	0.0000	inf	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	1.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	5.1760	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.4029	0.4029
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	2.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.2240	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5368	0.5368
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	4.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	13.9680	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.2520	0.2520
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	8.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	16.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	32.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	64.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	1.0000	inf	2.0080	0.3347	180.0080	6.0000	-1.0000	14.7360	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5410	0.5410
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	2.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	4.0480	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.2146	0.2146
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	4.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	8.7920	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.5282	0.5282
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	8.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.5600	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.8835	0.8835
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	16.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.5600	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.8835	0.8835
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	32.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.5600	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.8835	0.8835
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	64.0000	2.0080	0.3347	180.0080	6.0000	-1.0000	9.5600	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.8835	0.8835
MTBLS17	MTBLS39;MTBLS52;MTBLS17;MTBLS19;MTBLS4;MTBLS38;MPI_Symmetry	2.0000	inf	2.0080	0.3347	180.0080	6.0000	-1.0000	9.5600	13.3532	1.1108	0.1851	1.1108	0.0000	0.0000	0.8835	0.8835
