target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	1	3.1	0.2447	936.4	12.7	-1	11.76	38.245	1.4604	0.1165	1.5649	0.4629	0	0.5555	0.5555
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	2	3.1	0.2447	936.4	12.7	-1	22.48	38.245	1.4604	0.1165	1.5649	0.4629	0	1.0349	1.0349
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	4	3.1	0.2447	936.4	12.7	-1	40.9	38.245	1.4604	0.1165	1.5649	0.4629	0	1.9717	1.9717
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	8	3.1	0.2447	936.4	12.7	-1	65.7	38.245	1.4604	0.1165	1.5649	0.4629	0	3.7972	3.7972
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	16	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	32	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	64	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	Inf	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	1	3.1	0.2447	936.4	12.7	-1	11.76	38.245	1.4604	0.1165	1.5649	0.4629	0	0.5555	0.5555
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	2	3.1	0.2447	936.4	12.7	-1	22.48	38.245	1.4604	0.1165	1.5649	0.4629	0	1.0349	1.0349
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	4	3.1	0.2447	936.4	12.7	-1	40.9	38.245	1.4604	0.1165	1.5649	0.4629	0	1.9717	1.9717
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	8	3.1	0.2447	936.4	12.7	-1	65.7	38.245	1.4604	0.1165	1.5649	0.4629	0	3.7972	3.7972
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	16	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	32	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	64	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	Inf	3.1	0.2447	936.4	12.7	-1	74.34	38.245	1.4604	0.1165	1.5649	0.4629	0	5.5203	5.5203
LIFE_old	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2	2	3.1	0.2447	936.4	12.7	-1	10.72	38.245	1.4604	0.1165	1.5649	0.4629	0	0.4965	0.4965
