target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	1	0	0	917.9	28.1	-1	27.42	23.6784	0	0	0.303	0.303	0	0.6417	0.6417
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	2	0	0	917.9	28.1	-1	53.84	23.6784	0	0	0.303	0.303	0	1.2835	1.2835
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	4	0	0	917.9	28.1	-1	103.68	23.6784	0	0	0.303	0.303	0	2.567	2.567
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	8	0	0	917.9	28.1	-1	191.12	23.6784	0	0	0.303	0.303	0	4.8219	4.8219
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	16	0	0	917.9	28.1	-1	316.22	23.6784	0	0	0.303	0.303	0	6.6923	6.6923
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	32	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	64	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0	Inf	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	1	0	0	917.9	28.1	-1	27.42	23.6784	0	0	0.303	0.303	0	0.6417	0.6417
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	2	0	0	917.9	28.1	-1	53.84	23.6784	0	0	0.303	0.303	0	1.2835	1.2835
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	4	0	0	917.9	28.1	-1	103.68	23.6784	0	0	0.303	0.303	0	2.567	2.567
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	8	0	0	917.9	28.1	-1	191.12	23.6784	0	0	0.303	0.303	0	4.8219	4.8219
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	16	0	0	917.9	28.1	-1	316.22	23.6784	0	0	0.303	0.303	0	6.6923	6.6923
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	32	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	64	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1	Inf	0	0	917.9	28.1	-1	380.46	23.6784	0	0	0.303	0.303	0	8.5552	8.5552
FEM_long	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	2	2	0	0	917.9	28.1	-1	26.42	23.6784	0	0	0.303	0.303	0	0.6417	0.6417
