target_system	training_system	score	score_std
RIKEN	LIFE_old	0.7248	0.0711
RIKEN	LIFE_new	0.7770	0.0553
RIKEN	FEM_long	0.7874	0.0676
RIKEN	FEM_short	0.6694	0.0700
RIKEN	FEM_orbitrap_plasma	0.6007	0.0807
RIKEN	FEM_orbitrap_urine	0.7309	0.0704
RIKEN	IPB_Halle	0.6534	0.0644
RIKEN	RIKEN	0.8186	0.0551
RIKEN	Eawag_XBridgeC18	0.6891	0.0998
RIKEN	MPI_Symmetry	0.6970	0.0699
RIKEN	MTBLS4	0.5314	0.0036
RIKEN	MTBLS17	0.3794	0.0074
RIKEN	MTBLS19	0.4795	0.0034
RIKEN	MTBLS20	0.7293	0.0740
RIKEN	MTBLS36	0.6891	0.0953
RIKEN	MTBLS38	0.7745	0.0556
RIKEN	MTBLS39	0.6178	0.0709
RIKEN	UFZ_Phenomenex	0.6949	0.0772
RIKEN	UniToyama_Atlantis	0.5340	0.0912
RIKEN	MTBLS52	0.6530	0.0152
RIKEN	FEM_lipids	0.5175	0.0961
