target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
UFZ_Phenomenex	LIFE_old	0.2874	0.1612	0.3943	0.2052
UFZ_Phenomenex	LIFE_new	0.2632	0.1364	0.3625	0.1902
UFZ_Phenomenex	FEM_long	0.2862	0.1649	0.3936	0.2254
UFZ_Phenomenex	FEM_short	0.2301	0.0207	0.3459	0.0283
UFZ_Phenomenex	FEM_orbitrap_plasma	0.2626	0.1233	0.3550	0.1691
UFZ_Phenomenex	FEM_orbitrap_urine	0.2481	0.1372	0.3523	0.1824
UFZ_Phenomenex	IPB_Halle	0.2890	0.1391	0.3894	0.1891
UFZ_Phenomenex	RIKEN	0.2991	0.1518	0.4116	0.1994
UFZ_Phenomenex	Eawag_XBridgeC18	0.5414	0.1139	0.7052	0.1288
UFZ_Phenomenex	MPI_Symmetry	0.1845	0.1720	0.2588	0.2313
UFZ_Phenomenex	MTBLS4	0.1032	0.0002	0.1554	0.0003
UFZ_Phenomenex	MTBLS17	0.0377	0.0055	0.0543	0.0069
UFZ_Phenomenex	MTBLS19	-0.0030	0.0064	-0.0133	0.0100
UFZ_Phenomenex	MTBLS20	0.2746	0.1545	0.3637	0.1999
UFZ_Phenomenex	MTBLS36	0.2231	0.0085	0.3305	0.0139
UFZ_Phenomenex	MTBLS38	0.2285	0.0007	0.3443	0.0021
UFZ_Phenomenex	MTBLS39	-0.0095	0.0011	-0.0118	0.0013
UFZ_Phenomenex	UFZ_Phenomenex	0.5473	0.0909	0.7150	0.0986
UFZ_Phenomenex	UniToyama_Atlantis	0.1287	0.1621	0.1744	0.2249
UFZ_Phenomenex	MTBLS52	0.0950	0.0299	0.1400	0.0441
UFZ_Phenomenex	FEM_lipids	0.2201	0.1457	0.3068	0.1992
