target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UniToyama_Atlantis	LIFE_old	0.0000	0.0000	126.8000	9.9000	-1.0000	44.1000	14.3499	0.0000	0.0000	0.4518	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	LIFE_new	0.0000	0.0000	105.5000	9.9000	-1.0000	44.1000	14.6142	0.0000	0.0000	0.8144	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	FEM_long	0.0000	0.0000	279.1000	9.9000	-1.0000	44.1000	15.4210	0.0000	0.0000	1.1824	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	FEM_short	0.0000	0.0000	64.4000	9.9000	-1.0000	44.1000	15.4723	0.0000	0.0000	0.7284	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	FEM_orbitrap_plasma	0.0000	0.0000	77.9000	9.9000	-1.0000	44.1000	15.6442	0.0000	0.0000	0.7354	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	FEM_orbitrap_urine	0.0000	0.0000	50.8000	9.9000	-1.0000	44.1000	16.3197	0.0000	0.0000	0.4041	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	IPB_Halle	0.0000	0.0000	55.8000	9.9000	-1.0000	44.1000	16.5476	0.0000	0.0000	0.4518	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	RIKEN	0.0000	0.0000	180.2000	9.9000	-1.0000	44.1000	16.8912	0.0000	0.0000	0.8330	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	Eawag_XBridgeC18	0.0000	0.0000	317.0000	99.0000	-1.0000	4851.0000	16.8281	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	MPI_Symmetry	0.0000	0.0000	37.3000	9.9000	-1.0000	44.1000	17.0374	0.0000	0.0000	0.8391	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	MTBLS4	0.0000	0.0000	34.0000	99.0000	-1.0000	4851.0000	17.3271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	MTBLS17	0.0000	0.0000	22.0000	99.0000	-1.0000	4851.0000	17.0824	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	MTBLS19	0.0000	0.0000	27.0000	99.0000	-1.0000	4851.0000	17.4319	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	MTBLS20	0.0000	0.0000	78.9000	9.9000	-1.0000	44.1000	17.3629	0.0000	0.0000	0.3030	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	MTBLS36	0.0000	0.0000	48.0000	99.0000	-1.0000	4851.0000	17.3910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	MTBLS38	0.0000	0.0000	36.7000	9.9000	-1.0000	44.1000	17.5668	0.0000	0.0000	0.4629	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	MTBLS39	0.0000	0.0000	18.0000	99.0000	-1.0000	4851.0000	17.7269	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UniToyama_Atlantis	UFZ_Phenomenex	0.0000	0.0000	191.8000	9.9000	-1.0000	44.1000	17.9475	0.0000	0.0000	0.4949	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	UniToyama_Atlantis	0.0000	0.0000	89.1000	9.9000	-1.0000	44.1000	18.2016	0.0000	0.0000	0.3030	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	MTBLS52	0.0000	0.0000	18.9000	9.9000	-1.0000	44.1000	18.5138	0.0000	0.0000	0.3030	0.3030	0.0000	2.7274	2.7274
UniToyama_Atlantis	FEM_lipids	0.0000	0.0000	62.7000	9.9000	-1.0000	44.1000	18.9144	0.0000	0.0000	0.5051	0.3030	0.0000	2.7274	2.7274
