target_system	training_system	rank_corr	rank_corr_std	spear_corr	spear_corr_std
UniToyama_Atlantis	LIFE_old	0.5019	0.1729	0.6536	0.1948
UniToyama_Atlantis	LIFE_new	0.5228	0.1945	0.6551	0.2076
UniToyama_Atlantis	FEM_long	0.5331	0.162	0.6881	0.1572
UniToyama_Atlantis	FEM_short	0.0051	0.2376	0.0012	0.3212
UniToyama_Atlantis	FEM_orbitrap_plasma	0.4225	0.2198	0.5579	0.2253
UniToyama_Atlantis	FEM_orbitrap_urine	0.3567	0.2282	0.4865	0.2896
UniToyama_Atlantis	IPB_Halle	0.465	0.1681	0.6218	0.1906
UniToyama_Atlantis	RIKEN	0.5637	0.1896	0.7138	0.1845
UniToyama_Atlantis	Eawag_XBridgeC18	0.5992	0	0.779	0
UniToyama_Atlantis	MPI_Symmetry	0.5344	0.1688	0.6781	0.1795
UniToyama_Atlantis	MTBLS4	-0.1041	0.0035	-0.1363	0.0048
UniToyama_Atlantis	MTBLS17	0.1112	0.0066	0.131	0.0065
UniToyama_Atlantis	MTBLS19	0.1429	0.0029	0.1815	0.005
UniToyama_Atlantis	MTBLS20	0.3561	0.1703	0.478	0.2139
UniToyama_Atlantis	MTBLS36	0.4508	0.0104	0.6455	0.0169
UniToyama_Atlantis	MTBLS38	0.4171	0.1633	0.5458	0.2076
UniToyama_Atlantis	MTBLS39	0.2212	0.0142	0.3173	0.0209
UniToyama_Atlantis	UFZ_Phenomenex	0.3762	0.2006	0.4905	0.2418
UniToyama_Atlantis	UniToyama_Atlantis	0.6384	0.1762	0.7687	0.1757
UniToyama_Atlantis	MTBLS52	0.1672	0.2181	0.2247	0.278
UniToyama_Atlantis	FEM_lipids	0.1282	0.2088	0.1662	0.2786
MTBLS19	LIFE_old	0.1499	0.2932	0.1896	0.3647
MTBLS19	LIFE_new	0.077	0.2812	0.1092	0.3612
MTBLS19	FEM_long	0.2266	0.3116	0.2723	0.3855
MTBLS19	FEM_short	-0.1085	0.0218	-0.2447	0.0264
MTBLS19	FEM_orbitrap_plasma	0.3441	0.2795	0.3797	0.3438
MTBLS19	FEM_orbitrap_urine	0.0212	0.2892	0.0501	0.361
MTBLS19	IPB_Halle	0.106	0.3315	0.1009	0.4063
MTBLS19	RIKEN	0.0173	0	-0.0024	0
MTBLS19	Eawag_XBridgeC18	0.0346	0	0.0379	0
MTBLS19	MPI_Symmetry	0.0173	0.0122	0.0308	0.0277
MTBLS19	MTBLS4	-0.0819	0.3166	-0.1293	0.3953
MTBLS19	MTBLS17	0.203	0.3303	0.264	0.4246
MTBLS19	MTBLS19	0.3783	0.2512	0.4634	0.3138
MTBLS19	MTBLS20	0.0611	0.3051	0.0975	0.3791
MTBLS19	MTBLS36	0.0266	0.031	0.0435	0.023
MTBLS19	MTBLS38	-0.0416	0.0026	-0.036	0.0046
MTBLS19	MTBLS39	0.2263	0.0095	0.2695	0.0027
MTBLS19	UFZ_Phenomenex	-0.075	0	-0.1391	0
MTBLS19	UniToyama_Atlantis	0.2828	0	0.4229	0
MTBLS19	MTBLS52	0.3175	0.0334	0.4227	0.0317
MTBLS19	FEM_lipids	0.4348	0.2049	0.5608	0.2237
FEM_long	LIFE_old	0.6039	0.0994	0.7689	0.1025
FEM_long	LIFE_new	0.6119	0.0816	0.7881	0.0786
FEM_long	FEM_long	0.7598	0.0794	0.8888	0.0678
FEM_long	FEM_short	0.1324	0.1348	0.1621	0.1954
FEM_long	FEM_orbitrap_plasma	0.5431	0.0982	0.7079	0.1154
FEM_long	FEM_orbitrap_urine	0.5906	0.1071	0.7543	0.1116
FEM_long	IPB_Halle	0.4901	0.1142	0.6559	0.1239
FEM_long	RIKEN	0.6374	0.085	0.8075	0.0845
FEM_long	Eawag_XBridgeC18	0.5215	0.098	0.703	0.1121
FEM_long	MPI_Symmetry	0.3884	0.1092	0.5476	0.1369
FEM_long	MTBLS4	0.1457	0.1653	0.1846	0.2265
FEM_long	MTBLS17	0.0802	0.1705	0.1391	0.2353
FEM_long	MTBLS19	0.1865	0.1251	0.2971	0.17
FEM_long	MTBLS20	0.5186	0.1143	0.688	0.124
FEM_long	MTBLS36	0.4437	0.1	0.6081	0.1306
FEM_long	MTBLS38	0.6035	0.0896	0.7698	0.097
FEM_long	MTBLS39	0.1489	0.1325	0.2156	0.1914
FEM_long	UFZ_Phenomenex	0.5589	0.1012	0.7305	0.1097
FEM_long	UniToyama_Atlantis	0.3738	0.1049	0.5403	0.1348
FEM_long	MTBLS52	0.2346	0.0197	0.3588	0.0298
FEM_long	FEM_lipids	0.2788	0.1514	0.3864	0.1915
MTBLS36	LIFE_old	0.4253	0.2081	0.5304	0.2554
MTBLS36	LIFE_new	0.3745	0.1833	0.5102	0.207
MTBLS36	FEM_long	0.4209	0.1674	0.5584	0.2077
MTBLS36	FEM_short	0.2747	0.166	0.3962	0.2237
MTBLS36	FEM_orbitrap_plasma	0.1658	0.2166	0.2328	0.296
MTBLS36	FEM_orbitrap_urine	0.2801	0.1962	0.3616	0.249
MTBLS36	IPB_Halle	0.2612	0.2134	0.3513	0.265
MTBLS36	RIKEN	0.3229	0.1825	0.4456	0.2256
MTBLS36	Eawag_XBridgeC18	0.3862	0	0.5226	0
MTBLS36	MPI_Symmetry	0.3248	0.1846	0.4487	0.2309
MTBLS36	MTBLS4	0.059	0.0048	0.0981	0.0051
MTBLS36	MTBLS17	-0.0737	0.017	-0.0668	0.0291
MTBLS36	MTBLS19	0.0975	0.0039	0.1431	0.0044
MTBLS36	MTBLS20	0.3833	0.213	0.5042	0.2507
MTBLS36	MTBLS36	0.4328	0.1472	0.5853	0.1766
MTBLS36	MTBLS38	0.3416	0.1927	0.464	0.2355
MTBLS36	MTBLS39	0.2585	0.1936	0.3446	0.2524
MTBLS36	UFZ_Phenomenex	0.3702	0	0.5113	0
MTBLS36	UniToyama_Atlantis	0.3471	0	0.4977	0
MTBLS36	MTBLS52	0.269	0.0081	0.4135	0.0052
MTBLS36	FEM_lipids	0.046	0.0156	0.097	0.0137
UFZ_Phenomenex	LIFE_old	0.2874	0.1612	0.3943	0.2052
UFZ_Phenomenex	LIFE_new	0.2632	0.1364	0.3625	0.1902
UFZ_Phenomenex	FEM_long	0.2862	0.1649	0.3936	0.2254
UFZ_Phenomenex	FEM_short	0.2301	0.0207	0.3459	0.0283
UFZ_Phenomenex	FEM_orbitrap_plasma	0.2626	0.1233	0.355	0.1691
UFZ_Phenomenex	FEM_orbitrap_urine	0.2481	0.1372	0.3523	0.1824
UFZ_Phenomenex	IPB_Halle	0.289	0.1391	0.3894	0.1891
