target_system	training_systems	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
MTBLS17	LIFE_old	0	0	125.76	6	-1	14.704	9.7787	0	0	0.9788	0	0	0.5539	0.5539
MTBLS17	LIFE_new	0	0	104.992	6	-1	14.792	10.0097	0	0	0.788	0	0	0.4631	0.4631
MTBLS17	FEM_long	0	0	280.664	6	-1	14.776	10.6779	0	0	0.4742	0	0	0.5368	0.5368
MTBLS17	FEM_short	0	0	65	22	-1	227	10.6381	0	0	0	0	0	0	0
MTBLS17	FEM_orbitrap_plasma	0	0	77.84	6	-1	14.736	10.7849	0	0	0.8172	0	0	0.5258	0.5258
MTBLS17	FEM_orbitrap_urine	0	0	50.208	6	-1	14.696	11.135	0	0	0.699	0	0	0.5422	0.5422
MTBLS17	IPB_Halle	0	0	55.192	6	-1	14.696	11.4455	0	0	0.7372	0	0	0.5711	0.5711
MTBLS17	RIKEN	0	0	181	22	-1	227	11.6767	0	0	0	0	0	0	0
MTBLS17	Eawag_XBridgeC18	0	0	317	22	-1	227	11.745	0	0	0	0	0	0	0
MTBLS17	MPI_Symmetry	0	0	38	22	-1	227	11.6988	0	0	0	0	0	0	0
MTBLS17	MTBLS4	0	0	33.032	6	-1	14.8	11.8684	0	0	0.8418	0	0	0.4016	0.4016
MTBLS17	MTBLS17	0	0	16	6	-1	14.76	12.1846	0	0	0	0	0	0.4649	0.4649
MTBLS17	MTBLS19	0	0	25.968	6	-1	14.808	12.5285	0	0	0.8975	0	0	0.3955	0.3955
MTBLS17	MTBLS20	0	0	79	22	-1	227	12.7764	0	0	0	0	0	0	0
MTBLS17	MTBLS36	0	0	48	22	-1	227	12.7718	0	0	0	0	0	0	0
MTBLS17	MTBLS38	0	0	37	22	-1	227	12.8197	0	0	0	0	0	0	0
MTBLS17	MTBLS39	0	0	18	22	-1	227	12.8048	0	0	0	0	0	0	0
MTBLS17	UFZ_Phenomenex	0	0	192	22	-1	227	13.1143	0	0	0	0	0	0	0
MTBLS17	UniToyama_Atlantis	0	0	99	22	-1	227	13.6816	0	0	0	0	0	0	0
MTBLS17	MTBLS52	0	0	19	22	-1	227	12.8937	0	0	0	0	0	0	0
MTBLS17	FEM_lipids	0	0	62.016	6	-1	14.736	13.0567	0	0	0.8423	0	0	0.541	0.541
FEM_orbitrap_plasma	LIFE_old	0	0	125.3	7.9	-1	27.3	13.2979	0	0	1.0926	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	LIFE_new	0	0	104.4	7.9	-1	27.28	13.9868	0	0	1.0498	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	FEM_long	0	0	277	7.9	-1	27.26	15.0182	0	0	1.2936	0.303	0	2.1171	2.1171
FEM_orbitrap_plasma	FEM_short	0	0	63.9	7.9	-1	27.3	17.8314	0	0	1.0546	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0	0	71.1	7.9	-1	27.26	18.2825	0	0	0.303	0.303	0	2.1171	2.1171
FEM_orbitrap_plasma	FEM_orbitrap_urine	0	0	48	7.9	-1	27.3	18.7779	0	0	1.2936	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	IPB_Halle	0	0	55.1	7.9	-1	27.28	18.5706	0	0	0.789	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	RIKEN	0	0	179.6	7.9	-1	27.28	19.4519	0	0	0.9897	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	Eawag_XBridgeC18	0	0	317	79	-1	3079	20.3318	0	0	0	0	0	0	0
FEM_orbitrap_plasma	MPI_Symmetry	0	0	37.8	7.9	-1	27.28	19.9368	0	0	0.4041	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	MTBLS4	0	0	33.9	7.9	-1	27.28	19.9939	0	0	0.303	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	MTBLS17	0	0	21.6	7.9	-1	27.24	20.2328	0	0	0.7284	0.303	0	2.1812	2.1812
FEM_orbitrap_plasma	MTBLS19	0	0	26.3	7.9	-1	27.26	20.618	0	0	0.7626	0.303	0	2.1171	2.1171
FEM_orbitrap_plasma	MTBLS20	0	0	78.3	7.9	-1	27.26	20.2802	0	0	0.9091	0.303	0	2.1835	2.1835
FEM_orbitrap_plasma	MTBLS36	0	0	47.8	7.9	-1	27.3	20.8599	0	0	0.4041	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	MTBLS38	0	0	36.5	7.9	-1	27.3	20.9245	0	0	0.6468	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	MTBLS39	0	0	18	79	-1	3079	21.6192	0	0	0	0	0	0	0
FEM_orbitrap_plasma	UFZ_Phenomenex	0	0	191.7	7.9	-1	27.28	21.5612	0	0	0.544	0.303	0	2.1193	2.1193
FEM_orbitrap_plasma	UniToyama_Atlantis	0	0	97.9	7.9	-1	27.3	20.626	0	0	1.0351	0.303	0	2.1213	2.1213
FEM_orbitrap_plasma	MTBLS52	0	0	19	79	-1	3079	20.3506	0	0	0	0	0	0	0
FEM_orbitrap_plasma	FEM_lipids	0	0	60.2	7.9	-1	27.28	22.3971	0	0	1.3851	0.303	0	2.1193	2.1193
UFZ_Phenomenex	LIFE_old	0	0	126.6	19.2	-1	173.88	9.7004	0	0	0.5714	0.4041	0	7.745	7.745
UFZ_Phenomenex	LIFE_new	0	0	105.6	19.2	-1	173.68	9.8032	0	0	0.4949	0.4041	0	7.8622	7.8622
UFZ_Phenomenex	FEM_long	0	0	280.5	19.2	-1	173.88	11.0821	0	0	0.6145	0.4041	0	7.7345	7.7345
UFZ_Phenomenex	FEM_short	0	0	65	192	-1	18224	11.3312	0	0	0	0	0	0	0
UFZ_Phenomenex	FEM_orbitrap_plasma	0	0	78.7	19.2	-1	174	11.3338	0	0	0.5051	0.4041	0	7.6745	7.6745
UFZ_Phenomenex	FEM_orbitrap_urine	0	0	50.9	19.2	-1	173.64	11.5719	0	0	0.303	0.4041	0	7.6685	7.6685
UFZ_Phenomenex	IPB_Halle	0	0	55.7	19.2	-1	173.8	11.6708	0	0	0.5803	0.4041	0	7.6505	7.6505
UFZ_Phenomenex	RIKEN	0	0	180.6	19.2	-1	173.44	11.85	0	0	0.6389	0.4041	0	7.6856	7.6856
UFZ_Phenomenex	Eawag_XBridgeC18	0	0	310.7	19.2	-1	173.8	12.1174	0	0	1.8098	0.4041	0	7.6211	7.6211
UFZ_Phenomenex	MPI_Symmetry	0	0	37.8	19.2	-1	173.74	12.0644	0	0	0.4518	0.4041	0	7.727	7.727
UFZ_Phenomenex	MTBLS4	0	0	34	192	-1	18224	12.1973	0	0	0	0	0	0	0
UFZ_Phenomenex	MTBLS17	0	0	22	192	-1	18224	12.1105	0	0	0	0	0	0	0
UFZ_Phenomenex	MTBLS19	0	0	27	192	-1	18224	12.0462	0	0	0	0	0	0	0
UFZ_Phenomenex	MTBLS20	0	0	78.6	19.2	-1	173.64	12.2051	0	0	0.6061	0.4041	0	7.8967	7.8967
UFZ_Phenomenex	MTBLS36	0	0	48	192	-1	18224	12.435	0	0	0	0	0	0	0
UFZ_Phenomenex	MTBLS38	0	0	37	192	-1	18224	12.4356	0	0	0	0	0	0	0
UFZ_Phenomenex	MTBLS39	0	0	18	192	-1	18224	12.4739	0	0	0	0	0	0	0
UFZ_Phenomenex	UFZ_Phenomenex	0	0	172.8	19.2	-1	173.8	12.4729	0	0	0.4041	0.4041	0	7.6265	7.6265
UFZ_Phenomenex	UniToyama_Atlantis	0	0	98.8	19.2	-1	173.92	12.7146	0	0	0.4041	0.4041	0	7.7192	7.7192
UFZ_Phenomenex	MTBLS52	0	0	19	192	-1	18224	12.8747	0	0	0	0	0	0	0
UFZ_Phenomenex	FEM_lipids	0	0	62.8	19.2	-1	173.7	12.9206	0	0	0.4518	0.4041	0	7.5519	7.5519
RIKEN	LIFE_old	0	0	125.5	18.1	-1	153.42	14.4407	0	0	1.0546	0.303	0	5.6463	5.6463
RIKEN	LIFE_new	0	0	104.8	18.1	-1	153.24	14.6735	0	0	1.1066	0.303	0	5.4344	5.4344
RIKEN	FEM_long	0	0	275.9	18.1	-1	153.2	18.1928	0	0	1.7173	0.303	0	5.8345	5.8345
RIKEN	FEM_short	0	0	63.7	18.1	-1	153.5	19.4278	0	0	1.0351	0.303	0	5.4819	5.4819
RIKEN	FEM_orbitrap_plasma	0	0	77.6	18.1	-1	153.52	19.3613	0	0	0.9897	0.303	0	5.3766	5.3766
RIKEN	FEM_orbitrap_urine	0	0	50.2	18.1	-1	153.26	19.8156	0	0	0.9035	0.303	0	5.5762	5.5762
RIKEN	IPB_Halle	0	0	55.6	18.1	-1	153.54	20.1598	0	0	0.6389	0.303	0	5.779	5.779
RIKEN	RIKEN	0	0	162.9	18.1	-1	153.32	20.3359	0	0	0.303	0.303	0	5.6114	5.6114
RIKEN	Eawag_XBridgeC18	0	0	316.8	18.1	-1	153.62	22.9143	0	0	0.4518	0.303	0	5.5398	5.5398
RIKEN	MPI_Symmetry	0	0	37.5	18.1	-1	153.34	21.0125	0	0	0.6145	0.303	0	5.4233	5.4233
RIKEN	MTBLS4	0	0	34	181	-1	16143	21.4302	0	0	0	0	0	0	0
RIKEN	MTBLS17	0	0	22	181	-1	16143	21.3615	0	0	0	0	0	0	0
RIKEN	MTBLS19	0	0	27	181	-1	16143	21.4045	0	0	0	0	0	0	0
RIKEN	MTBLS20	0	0	78	18.1	-1	153.3	21.3068	0	0	0.8571	0.303	0	5.7614	5.7614
RIKEN	MTBLS36	0	0	47.5	18.1	-1	153.24	21.2418	0	0	0.6468	0.303	0	5.3397	5.3397
RIKEN	MTBLS38	0	0	36	18.1	-1	153.32	21.7162	0	0	0.8806	0.303	0	5.3048	5.3048
RIKEN	MTBLS39	0	0	17.5	18.1	-1	153.46	21.8876	0	0	0.6145	0.303	0	5.7613	5.7613
RIKEN	UFZ_Phenomenex	0	0	191.6	18.1	-1	153.38	22.1517	0	0	0.5714	0.303	0	5.7814	5.7814
RIKEN	UniToyama_Atlantis	0	0	98.2	18.1	-1	153.36	22.5184	0	0	0.7559	0.303	0	5.5024	5.5024
RIKEN	MTBLS52	0	0	19	181	-1	16143	22.5124	0	0	0	0	0	0	0
RIKEN	FEM_lipids	0	0	62.9	18.1	-1	153.26	22.7019	0	0	0.303	0.303	0	5.1222	5.1222
FEM_orbitrap_urine	LIFE_old	0	0	124.08	13	-1	77.664	14.6122	0	0	1.3947	0	0	0.5228	0.5228
FEM_orbitrap_urine	LIFE_new	0	0	103.248	13	-1	77.76	18.8376	0	0	1.3116	0	0	0.4472	0.4472
FEM_orbitrap_urine	FEM_long	0	0	276.104	13	-1	77.728	22.0061	0	0	1.6403	0	0	0.4815	0.4815
FEM_orbitrap_urine	FEM_short	0	0	63.896	13	-1	77.744	20.7996	0	0	0.8407	0	0	0.5065	0.5065
FEM_orbitrap_urine	FEM_orbitrap_plasma	0	0	71.272	13	-1	77.64	21.7263	0	0	1.3523	0	0	0.5594	0.5594
FEM_orbitrap_urine	FEM_orbitrap_urine	0	0	38	13	-1	77.752	22.262	0	0	0	0	0	0.4518	0.4518
FEM_orbitrap_urine	IPB_Halle	0	0	54.744	13	-1	77.608	23.3327	0	0	0.9747	0	0	0.5521	0.5521
FEM_orbitrap_urine	RIKEN	0	0	178.896	13	-1	77.736	23.8519	0	0	1.1902	0	0	0.4776	0.4776
FEM_orbitrap_urine	Eawag_XBridgeC18	0	0	317	51	-1	1270	27.0553	0	0	0	0	0	0	0
FEM_orbitrap_urine	MPI_Symmetry	0	0	37.64	13	-1	77.752	24.5478	0	0	0.4819	0	0	0.4693	0.4693
FEM_orbitrap_urine	MTBLS4	0	0	34	51	-1	1270	24.8453	0	0	0	0	0	0	0
FEM_orbitrap_urine	MTBLS17	0	0	21.144	13	-1	77.712	23.0139	0	0	0.7373	0	0	0.5051	0.5051
FEM_orbitrap_urine	MTBLS19	0	0	25.376	13	-1	77.696	24.0244	0	0	0.9128	0	0	0.479	0.479
FEM_orbitrap_urine	MTBLS20	0	0	77.36	13	-1	77.664	24.5809	0	0	1.0881	0	0	0.5949	0.5949
FEM_orbitrap_urine	MTBLS36	0	0	47.208	13	-1	77.704	25.1933	0	0	0.7437	0	0	0.4756	0.4756
FEM_orbitrap_urine	MTBLS38	0	0	36.208	13	-1	77.704	25.8867	0	0	0.7105	0	0	0.524	0.524
FEM_orbitrap_urine	MTBLS39	0	0	18	51	-1	1270	25.8787	0	0	0	0	0	0	0
FEM_orbitrap_urine	UFZ_Phenomenex	0	0	191.672	13	-1	77.696	26.2834	0	0	0.4714	0	0	0.4955	0.4955
FEM_orbitrap_urine	UniToyama_Atlantis	0	0	98.384	13	-1	77.648	24.4659	0	0	0.6449	0	0	0.5573	0.5573
FEM_orbitrap_urine	MTBLS52	0	0	19	51	-1	1270	23.4326	0	0	0	0	0	0	0
FEM_orbitrap_urine	FEM_lipids	0	0	58.592	13	-1	77.728	25.926	0	0	1.4148	0	0	0.498	0.498
Eawag_XBridgeC18	LIFE_old	0	0	126.8	31.7	-1	483.06	14.3137	0	0	0.4041	0.4629	0	14.7516	14.7516
Eawag_XBridgeC18	LIFE_new	0	0	105.9	31.7	-1	482.62	14.698	0	0	0.303	0.4629	0	14.1895	14.1895
Eawag_XBridgeC18	FEM_long	0	0	280.9	31.7	-1	482.98	18.2836	0	0	0.303	0.4629	0	14.255	14.255
Eawag_XBridgeC18	FEM_short	0	0	65	317	-1	49699	19.6672	0	0	0	0	0	0	0
Eawag_XBridgeC18	FEM_orbitrap_plasma	0	0	79	317	-1	49699	19.6272	0	0	0	0	0	0	0
Eawag_XBridgeC18	FEM_orbitrap_urine	0	0	51	317	-1	49699	19.5547	0	0	0	0	0	0	0
Eawag_XBridgeC18	IPB_Halle	0	0	55.9	31.7	-1	483.08	19.2151	0	0	0.303	0.4629	0	14.4432	14.4432
Eawag_XBridgeC18	RIKEN	0	0	180.8	31.7	-1	483.02	19.3877	0	0	0.4041	0.4629	0	14.2019	14.2019
Eawag_XBridgeC18	Eawag_XBridgeC18	0	0	285.3	31.7	-1	483.12	21.756	0	0	0.4629	0.4629	0	14.4019	14.4019
Eawag_XBridgeC18	MPI_Symmetry	0	0	37.9	31.7	-1	482.68	19.8769	0	0	0.303	0.4629	0	14.1903	14.1903
Eawag_XBridgeC18	MTBLS4	0	0	34	317	-1	49699	20.6166	0	0	0	0	0	0	0
Eawag_XBridgeC18	MTBLS17	0	0	22	317	-1	49699	20.6895	0	0	0	0	0	0	0
Eawag_XBridgeC18	MTBLS19	0	0	27	317	-1	49699	20.3157	0	0	0	0	0	0	0
Eawag_XBridgeC18	MTBLS20	0	0	78.8	31.7	-1	482.88	20.2018	0	0	0.4518	0.4629	0	14.4174	14.4174
Eawag_XBridgeC18	MTBLS36	0	0	48	317	-1	49699	20.65	0	0	0	0	0	0	0
Eawag_XBridgeC18	MTBLS38	0	0	36.9	31.7	-1	483.1	20.6139	0	0	0.303	0.4629	0	14.6361	14.6361
Eawag_XBridgeC18	MTBLS39	0	0	18	317	-1	49699	20.9635	0	0	0	0	0	0	0
Eawag_XBridgeC18	UFZ_Phenomenex	0	0	185.7	31.7	-1	482.48	21.1342	0	0	2.1213	0.4629	0	14.8973	14.8973
Eawag_XBridgeC18	UniToyama_Atlantis	0	0	99	317	-1	49699	21.43	0	0	0	0	0	0	0
Eawag_XBridgeC18	MTBLS52	0	0	19	317	-1	49699	21.4567	0	0	0	0	0	0	0
Eawag_XBridgeC18	FEM_lipids	0	0	63	317	-1	49699	21.8906	0	0	0	0	0	0	0
MPI_Symmetry	LIFE_old	0	0	126.424	10	-1	45	9.8024	0	0	0.6383	0	0	0	0
MPI_Symmetry	LIFE_new	0	0	104.488	10	-1	45	11.1836	0	0	1.0209	0	0	0	0
MPI_Symmetry	FEM_long	0	0	278.008	10	-1	45	11.6644	0	0	1.2081	0	0	0	0
MPI_Symmetry	FEM_short	0	0	63.664	10	-1	45	12.0103	0	0	0.975	0	0	0	0
MPI_Symmetry	FEM_orbitrap_plasma	0	0	78.552	10	-1	45	12.3187	0	0	0.6018	0	0	0	0
MPI_Symmetry	FEM_orbitrap_urine	0	0	50.688	10	-1	45	12.7832	0	0	0.4652	0	0	0	0
