C	epsilon	score	target_system	training_systems
0.0010	0.0100	-0.3697	FEM_short	FEM_short
0.0010	0.0250	-0.3697	FEM_short	FEM_short
0.0010	0.0500	-0.3697	FEM_short	FEM_short
0.0010	0.1000	-0.3697	FEM_short	FEM_short
0.0010	0.1500	-0.3696	FEM_short	FEM_short
0.0010	0.2500	-0.3695	FEM_short	FEM_short
0.0010	0.5000	-0.3682	FEM_short	FEM_short
0.0010	1.0000	-0.3675	FEM_short	FEM_short
0.0010	1.5000	-0.3217	FEM_short	FEM_short
0.0010	2.0000	-0.2669	FEM_short	FEM_short
0.0100	0.0100	-0.3643	FEM_short	FEM_short
0.0100	0.0250	-0.3643	FEM_short	FEM_short
0.0100	0.0500	-0.3643	FEM_short	FEM_short
0.0100	0.1000	-0.3643	FEM_short	FEM_short
0.0100	0.1500	-0.3641	FEM_short	FEM_short
0.0100	0.2500	-0.3640	FEM_short	FEM_short
0.0100	0.5000	-0.3628	FEM_short	FEM_short
0.0100	1.0000	-0.3619	FEM_short	FEM_short
0.0100	1.5000	-0.3164	FEM_short	FEM_short
0.0100	2.0000	-0.2620	FEM_short	FEM_short
0.1000	0.0100	-0.3112	FEM_short	FEM_short
0.1000	0.0250	-0.3112	FEM_short	FEM_short
0.1000	0.0500	-0.3111	FEM_short	FEM_short
0.1000	0.1000	-0.3110	FEM_short	FEM_short
0.1000	0.1500	-0.3111	FEM_short	FEM_short
0.1000	0.2500	-0.3106	FEM_short	FEM_short
0.1000	0.5000	-0.3096	FEM_short	FEM_short
0.1000	1.0000	-0.3049	FEM_short	FEM_short
0.1000	1.5000	-0.2637	FEM_short	FEM_short
0.1000	2.0000	-0.2123	FEM_short	FEM_short
1.0000	0.0100	0.1098	FEM_short	FEM_short
1.0000	0.0250	0.1096	FEM_short	FEM_short
1.0000	0.0500	0.1096	FEM_short	FEM_short
1.0000	0.1000	0.1097	FEM_short	FEM_short
1.0000	0.1500	0.1113	FEM_short	FEM_short
1.0000	0.2500	0.1154	FEM_short	FEM_short
1.0000	0.5000	0.1241	FEM_short	FEM_short
1.0000	1.0000	0.1304	FEM_short	FEM_short
1.0000	1.5000	0.1469	FEM_short	FEM_short
1.0000	2.0000	0.1607	FEM_short	FEM_short
10.0000	0.0100	0.6918	FEM_short	FEM_short
10.0000	0.0250	0.6919	FEM_short	FEM_short
10.0000	0.0500	0.6920	FEM_short	FEM_short
10.0000	0.1000	0.6922	FEM_short	FEM_short
10.0000	0.1500	0.6923	FEM_short	FEM_short
10.0000	0.2500	0.6921	FEM_short	FEM_short
10.0000	0.5000	0.6899	FEM_short	FEM_short
10.0000	1.0000	0.6893	FEM_short	FEM_short
10.0000	1.5000	0.6856	FEM_short	FEM_short
10.0000	2.0000	0.6693	FEM_short	FEM_short
100.0000	0.0100	0.7113	FEM_short	FEM_short
100.0000	0.0250	0.7114	FEM_short	FEM_short
100.0000	0.0500	0.7115	FEM_short	FEM_short
100.0000	0.1000	0.7118	FEM_short	FEM_short
100.0000	0.1500	0.7120	FEM_short	FEM_short
100.0000	0.2500	0.7122	FEM_short	FEM_short
100.0000	0.5000	0.7117	FEM_short	FEM_short
100.0000	1.0000	0.7116	FEM_short	FEM_short
100.0000	1.5000	0.7053	FEM_short	FEM_short
100.0000	2.0000	0.6940	FEM_short	FEM_short
0.0010	0.0100	-0.2499	FEM_short	FEM_short
0.0010	0.0250	-0.2499	FEM_short	FEM_short
0.0010	0.0500	-0.2499	FEM_short	FEM_short
0.0010	0.1000	-0.2498	FEM_short	FEM_short
0.0010	0.1500	-0.2509	FEM_short	FEM_short
0.0010	0.2500	-0.2547	FEM_short	FEM_short
0.0010	0.5000	-0.2688	FEM_short	FEM_short
0.0010	1.0000	-0.2817	FEM_short	FEM_short
0.0010	1.5000	-0.2599	FEM_short	FEM_short
0.0010	2.0000	-0.2370	FEM_short	FEM_short
0.0100	0.0100	-0.2466	FEM_short	FEM_short
0.0100	0.0250	-0.2466	FEM_short	FEM_short
0.0100	0.0500	-0.2466	FEM_short	FEM_short
0.0100	0.1000	-0.2466	FEM_short	FEM_short
0.0100	0.1500	-0.2474	FEM_short	FEM_short
0.0100	0.2500	-0.2513	FEM_short	FEM_short
0.0100	0.5000	-0.2653	FEM_short	FEM_short
0.0100	1.0000	-0.2781	FEM_short	FEM_short
0.0100	1.5000	-0.2565	FEM_short	FEM_short
0.0100	2.0000	-0.2338	FEM_short	FEM_short
0.1000	0.0100	-0.2165	FEM_short	FEM_short
0.1000	0.0250	-0.2165	FEM_short	FEM_short
0.1000	0.0500	-0.2165	FEM_short	FEM_short
0.1000	0.1000	-0.2165	FEM_short	FEM_short
0.1000	0.1500	-0.2164	FEM_short	FEM_short
0.1000	0.2500	-0.2186	FEM_short	FEM_short
0.1000	0.5000	-0.2310	FEM_short	FEM_short
0.1000	1.0000	-0.2423	FEM_short	FEM_short
0.1000	1.5000	-0.2223	FEM_short	FEM_short
0.1000	2.0000	-0.2037	FEM_short	FEM_short
1.0000	0.0100	0.0228	FEM_short	FEM_short
1.0000	0.0250	0.0227	FEM_short	FEM_short
1.0000	0.0500	0.0223	FEM_short	FEM_short
1.0000	0.1000	0.0206	FEM_short	FEM_short
1.0000	0.1500	0.0193	FEM_short	FEM_short
1.0000	0.2500	0.0197	FEM_short	FEM_short
1.0000	0.5000	0.0241	FEM_short	FEM_short
