target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	1.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	6.9600	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	0.3476	0.3476
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	2.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	12.8800	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	0.5938	0.5938
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	4.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	21.6600	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	1.1886	1.1886
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	8.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	16.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	32.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	64.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	0.0000	inf	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	1.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	6.9600	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	0.3476	0.3476
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	2.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	12.8800	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	0.5938	0.5938
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	4.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	21.6600	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	1.1886	1.1886
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	8.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	16.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	32.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	64.0000	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
FEM_orbitrap_plasma	FEM_orbitrap_plasma	1.0000	inf	0.0000	0.0000	71.1000	7.9000	-1.0000	27.2400	14.1391	0.0000	0.0000	0.3030	0.3030	0.0000	2.1812	2.1812
