target_system	training_system	d_lower	d_upper	score	score_std
RIKEN	RIKEN	0.0000	1.0000	0.5902	0.0830
RIKEN	RIKEN	0.0000	2.0000	0.6312	0.0803
RIKEN	RIKEN	0.0000	4.0000	0.6940	0.0783
RIKEN	RIKEN	0.0000	8.0000	0.7729	0.0686
RIKEN	RIKEN	0.0000	16.0000	0.8145	0.0655
RIKEN	RIKEN	0.0000	32.0000	0.8149	0.0654
RIKEN	RIKEN	0.0000	64.0000	0.8149	0.0654
RIKEN	RIKEN	0.0000	inf	0.8149	0.0654
RIKEN	RIKEN	1.0000	1.0000	0.5902	0.0830
RIKEN	RIKEN	1.0000	2.0000	0.6312	0.0803
RIKEN	RIKEN	1.0000	4.0000	0.6940	0.0783
RIKEN	RIKEN	1.0000	8.0000	0.7729	0.0686
RIKEN	RIKEN	1.0000	16.0000	0.8145	0.0655
RIKEN	RIKEN	1.0000	32.0000	0.8149	0.0654
RIKEN	RIKEN	1.0000	64.0000	0.8149	0.0654
RIKEN	RIKEN	1.0000	inf	0.8149	0.0654
RIKEN	RIKEN	2.0000	2.0000	0.6749	0.1049
RIKEN	RIKEN	2.0000	4.0000	0.7334	0.0863
RIKEN	RIKEN	2.0000	8.0000	0.8076	0.0717
RIKEN	RIKEN	2.0000	16.0000	0.8450	0.0677
RIKEN	RIKEN	2.0000	32.0000	0.8454	0.0676
RIKEN	RIKEN	2.0000	64.0000	0.8454	0.0676
RIKEN	RIKEN	2.0000	inf	0.8454	0.0676
RIKEN	RIKEN	3.0000	4.0000	0.7660	0.0937
RIKEN	RIKEN	3.0000	8.0000	0.8368	0.0730
RIKEN	RIKEN	3.0000	16.0000	0.8704	0.0670
RIKEN	RIKEN	3.0000	32.0000	0.8707	0.0668
RIKEN	RIKEN	3.0000	64.0000	0.8707	0.0668
RIKEN	RIKEN	3.0000	inf	0.8707	0.0668
RIKEN	RIKEN	4.0000	4.0000	0.7979	0.1177
RIKEN	RIKEN	4.0000	8.0000	0.8627	0.0777
RIKEN	RIKEN	4.0000	16.0000	0.8920	0.0687
RIKEN	RIKEN	4.0000	32.0000	0.8923	0.0685
RIKEN	RIKEN	4.0000	64.0000	0.8923	0.0685
RIKEN	RIKEN	4.0000	inf	0.8923	0.0685
RIKEN	RIKEN	5.0000	8.0000	0.8829	0.0729
RIKEN	RIKEN	5.0000	16.0000	0.9083	0.0647
RIKEN	RIKEN	5.0000	32.0000	0.9087	0.0645
RIKEN	RIKEN	5.0000	64.0000	0.9087	0.0645
RIKEN	RIKEN	5.0000	inf	0.9087	0.0645
RIKEN	RIKEN	6.0000	8.0000	0.8999	0.0720
RIKEN	RIKEN	6.0000	16.0000	0.9212	0.0649
RIKEN	RIKEN	6.0000	32.0000	0.9216	0.0647
RIKEN	RIKEN	6.0000	64.0000	0.9216	0.0647
RIKEN	RIKEN	6.0000	inf	0.9216	0.0647
RIKEN	RIKEN	7.0000	8.0000	0.9141	0.0780
RIKEN	RIKEN	7.0000	16.0000	0.9304	0.0674
RIKEN	RIKEN	7.0000	32.0000	0.9308	0.0672
RIKEN	RIKEN	7.0000	64.0000	0.9308	0.0672
RIKEN	RIKEN	7.0000	inf	0.9308	0.0672
RIKEN	RIKEN	8.0000	8.0000	0.9300	0.0884
RIKEN	RIKEN	8.0000	16.0000	0.9373	0.0695
RIKEN	RIKEN	8.0000	32.0000	0.9376	0.0694
RIKEN	RIKEN	8.0000	64.0000	0.9376	0.0694
RIKEN	RIKEN	8.0000	inf	0.9376	0.0694
RIKEN	RIKEN	9.0000	16.0000	0.9388	0.0762
RIKEN	RIKEN	9.0000	32.0000	0.9391	0.0760
RIKEN	RIKEN	9.0000	64.0000	0.9391	0.0760
RIKEN	RIKEN	9.0000	inf	0.9391	0.0760
RIKEN	RIKEN	10.0000	16.0000	0.9453	0.0817
RIKEN	RIKEN	10.0000	32.0000	0.9457	0.0815
RIKEN	RIKEN	10.0000	64.0000	0.9457	0.0815
RIKEN	RIKEN	10.0000	inf	0.9457	0.0815
RIKEN	RIKEN	11.0000	16.0000	0.9456	0.0962
RIKEN	RIKEN	11.0000	32.0000	0.9459	0.0961
RIKEN	RIKEN	11.0000	64.0000	0.9459	0.0961
RIKEN	RIKEN	11.0000	inf	0.9459	0.0961
RIKEN	RIKEN	12.0000	16.0000	0.9433	0.1275
RIKEN	RIKEN	12.0000	32.0000	0.9436	0.1274
RIKEN	RIKEN	12.0000	64.0000	0.9436	0.1274
RIKEN	RIKEN	12.0000	inf	0.9436	0.1274
RIKEN	RIKEN	13.0000	16.0000	0.9365	0.1754
RIKEN	RIKEN	13.0000	32.0000	0.9370	0.1753
RIKEN	RIKEN	13.0000	64.0000	0.9370	0.1753
RIKEN	RIKEN	13.0000	inf	0.9370	0.1753
RIKEN	RIKEN	14.0000	16.0000	0.9289	0.1992
RIKEN	RIKEN	14.0000	32.0000	0.9296	0.1991
RIKEN	RIKEN	14.0000	64.0000	0.9296	0.1991
RIKEN	RIKEN	14.0000	inf	0.9296	0.1991
