C	epsilon	target_system	training_systems
100	0.2500	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
10	0.0100	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
10	0.5000	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	0.5000	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
100	1.5000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
1	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.1000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
1	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
10	0.5000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
1	2.0000	MPI_Symmetry	MPI_Symmetry
1	0.5000	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
1	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.0500	MPI_Symmetry	MPI_Symmetry
10	0.0100	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.2500	MPI_Symmetry	MPI_Symmetry
1	1.5000	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
100	0.5000	MPI_Symmetry	MPI_Symmetry
1	0.5000	MPI_Symmetry	MPI_Symmetry
1	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
10	2.0000	MPI_Symmetry	MPI_Symmetry
100	1.5000	MPI_Symmetry	MPI_Symmetry
10	0.5000	MPI_Symmetry	MPI_Symmetry
10	0.0250	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	1.0000	MPI_Symmetry	MPI_Symmetry
100	0.0100	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	0.0100	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
10	0.2500	MPI_Symmetry	MPI_Symmetry
1	2.0000	MPI_Symmetry	MPI_Symmetry
10	0.5000	MPI_Symmetry	MPI_Symmetry
100	0.0500	MPI_Symmetry	MPI_Symmetry
10	1.5000	MPI_Symmetry	MPI_Symmetry
10	1.0000	MPI_Symmetry	MPI_Symmetry
100	2.0000	MPI_Symmetry	MPI_Symmetry
