target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	1.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	34.0600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	2.1515	2.1515
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	2.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	67.0800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	4.2274	4.2274
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	4.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	129.6600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	8.5227	8.5227
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	8.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	238.8200	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.8210	14.8210
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	16.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	396.6800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	19.1987	19.1987
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	32.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	64.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	inf	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	1.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	34.0600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	2.1515	2.1515
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	2.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	67.0800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	4.2274	4.2274
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	4.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	129.6600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	8.5227	8.5227
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	8.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	238.8200	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.8210	14.8210
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	16.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	396.6800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	19.1987	19.1987
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	32.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	64.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	inf	0.0000	0.0000	56.7000	31.7000	-1.0000	483.2400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	14.0750	14.0750
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	2.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	33.0200	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	2.2176	2.2176
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	4.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	95.6000	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	6.4902	6.4902
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	8.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	204.7600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	12.8977	12.8977
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	16.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	362.6200	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	17.4390	17.4390
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	32.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	449.1800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	13.9089	13.9089
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	64.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	449.1800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	13.9089	13.9089
Eawag_XBridgeC18	Eawag_XBridgeC18	2.0000	inf	0.0000	0.0000	56.7000	31.7000	-1.0000	449.1800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	13.9089	13.9089
Eawag_XBridgeC18	Eawag_XBridgeC18	3.0000	4.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	62.5800	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	4.4128	4.4128
Eawag_XBridgeC18	Eawag_XBridgeC18	3.0000	8.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	171.7400	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	10.8943	10.8943
Eawag_XBridgeC18	Eawag_XBridgeC18	3.0000	16.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	329.6000	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	15.5682	15.5682
Eawag_XBridgeC18	Eawag_XBridgeC18	3.0000	32.0000	0.0000	0.0000	56.7000	31.7000	-1.0000	416.1600	14.8584	0.0000	0.0000	2.2429	0.4629	0.0000	13.8068	13.8068
