target_system	training_system	d_lower	d_upper	score	score_std
MTBLS19	MTBLS19	0.0000	1.0000	0.5251	0.1591
MTBLS19	MTBLS19	0.0000	2.0000	0.5547	0.1476
MTBLS19	MTBLS19	0.0000	4.0000	0.5865	0.1601
MTBLS19	MTBLS19	0.0000	8.0000	0.6024	0.1770
MTBLS19	MTBLS19	0.0000	16.0000	0.6024	0.1770
MTBLS19	MTBLS19	0.0000	32.0000	0.6024	0.1770
MTBLS19	MTBLS19	0.0000	64.0000	0.6024	0.1770
MTBLS19	MTBLS19	0.0000	inf	0.6024	0.1770
MTBLS19	MTBLS19	1.0000	1.0000	0.5251	0.1591
MTBLS19	MTBLS19	1.0000	2.0000	0.5547	0.1476
MTBLS19	MTBLS19	1.0000	4.0000	0.5865	0.1601
MTBLS19	MTBLS19	1.0000	8.0000	0.6024	0.1770
MTBLS19	MTBLS19	1.0000	16.0000	0.6024	0.1770
MTBLS19	MTBLS19	1.0000	32.0000	0.6024	0.1770
MTBLS19	MTBLS19	1.0000	64.0000	0.6024	0.1770
MTBLS19	MTBLS19	1.0000	inf	0.6024	0.1770
MTBLS19	MTBLS19	2.0000	2.0000	0.5904	0.1829
MTBLS19	MTBLS19	2.0000	4.0000	0.6173	0.1891
MTBLS19	MTBLS19	2.0000	8.0000	0.6337	0.2082
MTBLS19	MTBLS19	2.0000	16.0000	0.6337	0.2082
MTBLS19	MTBLS19	2.0000	32.0000	0.6337	0.2082
MTBLS19	MTBLS19	2.0000	64.0000	0.6337	0.2082
MTBLS19	MTBLS19	2.0000	inf	0.6337	0.2082
MTBLS19	MTBLS19	3.0000	4.0000	0.6366	0.2306
MTBLS19	MTBLS19	3.0000	8.0000	0.6556	0.2449
MTBLS19	MTBLS19	3.0000	16.0000	0.6556	0.2449
MTBLS19	MTBLS19	3.0000	32.0000	0.6556	0.2449
MTBLS19	MTBLS19	3.0000	64.0000	0.6556	0.2449
MTBLS19	MTBLS19	3.0000	inf	0.6556	0.2449
MTBLS19	MTBLS19	4.0000	4.0000	0.6587	0.2791
MTBLS19	MTBLS19	4.0000	8.0000	0.6791	0.2852
MTBLS19	MTBLS19	4.0000	16.0000	0.6791	0.2852
MTBLS19	MTBLS19	4.0000	32.0000	0.6791	0.2852
MTBLS19	MTBLS19	4.0000	64.0000	0.6791	0.2852
MTBLS19	MTBLS19	4.0000	inf	0.6791	0.2852
MTBLS19	MTBLS19	5.0000	8.0000	0.7013	0.3531
MTBLS19	MTBLS19	5.0000	16.0000	0.7013	0.3531
MTBLS19	MTBLS19	5.0000	32.0000	0.7013	0.3531
MTBLS19	MTBLS19	5.0000	64.0000	0.7013	0.3531
MTBLS19	MTBLS19	5.0000	inf	0.7013	0.3531
MTBLS19	MTBLS19	6.0000	8.0000	0.6960	0.4618
MTBLS19	MTBLS19	6.0000	16.0000	0.6960	0.4618
MTBLS19	MTBLS19	6.0000	32.0000	0.6960	0.4618
MTBLS19	MTBLS19	6.0000	64.0000	0.6960	0.4618
MTBLS19	MTBLS19	6.0000	inf	0.6960	0.4618
MTBLS19	MTBLS19	7.0000	8.0000	0.0000	0.0000
MTBLS19	MTBLS19	7.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	7.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	7.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	7.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	8.0000	8.0000	0.0000	0.0000
MTBLS19	MTBLS19	8.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	8.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	8.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	8.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	9.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	9.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	9.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	9.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	10.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	10.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	10.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	10.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	11.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	11.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	11.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	11.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	12.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	12.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	12.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	12.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	13.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	13.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	13.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	13.0000	inf	0.0000	0.0000
MTBLS19	MTBLS19	14.0000	16.0000	0.0000	0.0000
MTBLS19	MTBLS19	14.0000	32.0000	0.0000	0.0000
MTBLS19	MTBLS19	14.0000	64.0000	0.0000	0.0000
MTBLS19	MTBLS19	14.0000	inf	0.0000	0.0000
