C	epsilon	score	target_system	training_systems
0.0010	0.0100	-3.9988	MTBLS19	MTBLS19
0.0010	0.0250	-3.9988	MTBLS19	MTBLS19
0.0010	0.0500	-3.9988	MTBLS19	MTBLS19
0.0010	0.1000	-3.9990	MTBLS19	MTBLS19
0.0010	0.1500	-3.9984	MTBLS19	MTBLS19
0.0010	0.2500	-4.0020	MTBLS19	MTBLS19
0.0010	0.5000	-3.8004	MTBLS19	MTBLS19
0.0010	1.0000	-2.6744	MTBLS19	MTBLS19
0.0010	1.5000	-1.8384	MTBLS19	MTBLS19
0.0010	2.0000	-1.5315	MTBLS19	MTBLS19
0.0100	0.0100	-4.0015	MTBLS19	MTBLS19
0.0100	0.0250	-4.0015	MTBLS19	MTBLS19
0.0100	0.0500	-4.0015	MTBLS19	MTBLS19
0.0100	0.1000	-4.0030	MTBLS19	MTBLS19
0.0100	0.1500	-3.9971	MTBLS19	MTBLS19
0.0100	0.2500	-4.0029	MTBLS19	MTBLS19
0.0100	0.5000	-3.7848	MTBLS19	MTBLS19
0.0100	1.0000	-2.6647	MTBLS19	MTBLS19
0.0100	1.5000	-1.8319	MTBLS19	MTBLS19
0.0100	2.0000	-1.5283	MTBLS19	MTBLS19
0.1000	0.0100	-4.0315	MTBLS19	MTBLS19
0.1000	0.0250	-4.0315	MTBLS19	MTBLS19
0.1000	0.0500	-4.0345	MTBLS19	MTBLS19
0.1000	0.1000	-3.9997	MTBLS19	MTBLS19
0.1000	0.1500	-3.9438	MTBLS19	MTBLS19
0.1000	0.2500	-3.9727	MTBLS19	MTBLS19
0.1000	0.5000	-3.6302	MTBLS19	MTBLS19
0.1000	1.0000	-2.5724	MTBLS19	MTBLS19
0.1000	1.5000	-1.7749	MTBLS19	MTBLS19
0.1000	2.0000	-1.5073	MTBLS19	MTBLS19
1.0000	0.0100	-3.4010	MTBLS19	MTBLS19
1.0000	0.0250	-3.3847	MTBLS19	MTBLS19
1.0000	0.0500	-3.3592	MTBLS19	MTBLS19
1.0000	0.1000	-3.3378	MTBLS19	MTBLS19
1.0000	0.1500	-3.3131	MTBLS19	MTBLS19
1.0000	0.2500	-3.2265	MTBLS19	MTBLS19
