target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
LIFE_old	LIFE_old	0	1	0	0	22.5	12.7	-1	11.74	15.3109	0	0	1.2976	0.4629	0	0.487	0.487
LIFE_old	LIFE_old	0	2	0	0	22.5	12.7	-1	22.44	15.3109	0	0	1.2976	0.4629	0	0.9293	0.9293
LIFE_old	LIFE_old	0	4	0	0	22.5	12.7	-1	40.84	15.3109	0	0	1.2976	0.4629	0	1.8446	1.8446
LIFE_old	LIFE_old	0	8	0	0	22.5	12.7	-1	65.64	15.3109	0	0	1.2976	0.4629	0	3.6909	3.6909
LIFE_old	LIFE_old	0	16	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	0	32	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	0	64	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	0	Inf	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	1	1	0	0	22.5	12.7	-1	11.74	15.3109	0	0	1.2976	0.4629	0	0.487	0.487
LIFE_old	LIFE_old	1	2	0	0	22.5	12.7	-1	22.44	15.3109	0	0	1.2976	0.4629	0	0.9293	0.9293
LIFE_old	LIFE_old	1	4	0	0	22.5	12.7	-1	40.84	15.3109	0	0	1.2976	0.4629	0	1.8446	1.8446
LIFE_old	LIFE_old	1	8	0	0	22.5	12.7	-1	65.64	15.3109	0	0	1.2976	0.4629	0	3.6909	3.6909
LIFE_old	LIFE_old	1	16	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	1	32	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	1	64	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	1	Inf	0	0	22.5	12.7	-1	74.34	15.3109	0	0	1.2976	0.4629	0	5.5645	5.5645
LIFE_old	LIFE_old	2	2	0	0	22.5	12.7	-1	10.7	15.3109	0	0	1.2976	0.4629	0	0.4629	0.4629
LIFE_old	LIFE_old	2	4	0	0	22.5	12.7	-1	29.1	15.3109	0	0	1.2976	0.4629	0	1.3887	1.3887
