target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
RIKEN	Eawag_XBridgeC18	0.0000	1.0000	0.5715	0.0250	0.5707	0.0247
RIKEN	Eawag_XBridgeC18	0.0000	2.0000	0.5890	0.0137	0.5882	0.0135
RIKEN	Eawag_XBridgeC18	0.0000	4.0000	0.6265	0.0099	0.6257	0.0098
RIKEN	Eawag_XBridgeC18	0.0000	8.0000	0.6890	0.0084	0.6883	0.0086
RIKEN	Eawag_XBridgeC18	0.0000	16.0000	0.7392	0.0055	0.7391	0.0061
RIKEN	Eawag_XBridgeC18	0.0000	32.0000	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	0.0000	64.0000	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	0.0000	inf	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	1.0000	1.0000	0.5715	0.0250	0.5707	0.0247
RIKEN	Eawag_XBridgeC18	1.0000	2.0000	0.5890	0.0137	0.5882	0.0135
RIKEN	Eawag_XBridgeC18	1.0000	4.0000	0.6265	0.0099	0.6257	0.0098
RIKEN	Eawag_XBridgeC18	1.0000	8.0000	0.6890	0.0084	0.6883	0.0086
RIKEN	Eawag_XBridgeC18	1.0000	16.0000	0.7392	0.0055	0.7391	0.0061
RIKEN	Eawag_XBridgeC18	1.0000	32.0000	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	1.0000	64.0000	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	1.0000	inf	0.7398	0.0054	0.7397	0.0060
RIKEN	Eawag_XBridgeC18	3.0000	4.0000	0.6695	0.0172	0.6686	0.0169
RIKEN	Eawag_XBridgeC18	3.0000	8.0000	0.7341	0.0142	0.7334	0.0144
RIKEN	Eawag_XBridgeC18	3.0000	16.0000	0.7848	0.0091	0.7850	0.0099
RIKEN	Eawag_XBridgeC18	3.0000	32.0000	0.7855	0.0090	0.7856	0.0099
RIKEN	Eawag_XBridgeC18	3.0000	64.0000	0.7855	0.0090	0.7856	0.0099
RIKEN	Eawag_XBridgeC18	3.0000	inf	0.7855	0.0090	0.7856	0.0099
RIKEN	Eawag_XBridgeC18	5.0000	8.0000	0.7760	0.0150	0.7756	0.0156
RIKEN	Eawag_XBridgeC18	5.0000	16.0000	0.8265	0.0095	0.8272	0.0104
RIKEN	Eawag_XBridgeC18	5.0000	32.0000	0.8272	0.0093	0.8280	0.0103
RIKEN	Eawag_XBridgeC18	5.0000	64.0000	0.8272	0.0093	0.8280	0.0103
RIKEN	Eawag_XBridgeC18	5.0000	inf	0.8272	0.0093	0.8280	0.0103
RIKEN	Eawag_XBridgeC18	7.0000	8.0000	0.8091	0.0158	0.8090	0.0168
RIKEN	Eawag_XBridgeC18	7.0000	16.0000	0.8607	0.0124	0.8621	0.0127
RIKEN	Eawag_XBridgeC18	7.0000	32.0000	0.8615	0.0123	0.8629	0.0126
RIKEN	Eawag_XBridgeC18	7.0000	64.0000	0.8615	0.0123	0.8629	0.0126
RIKEN	Eawag_XBridgeC18	7.0000	inf	0.8615	0.0123	0.8629	0.0126
RIKEN	Eawag_XBridgeC18	9.0000	16.0000	0.8896	0.0157	0.8921	0.0155
RIKEN	Eawag_XBridgeC18	9.0000	32.0000	0.8906	0.0157	0.8932	0.0154
RIKEN	Eawag_XBridgeC18	9.0000	64.0000	0.8906	0.0157	0.8932	0.0154
RIKEN	Eawag_XBridgeC18	9.0000	inf	0.8906	0.0157	0.8932	0.0154
RIKEN	Eawag_XBridgeC18	11.0000	16.0000	0.9112	0.0223	0.9150	0.0213
RIKEN	Eawag_XBridgeC18	11.0000	32.0000	0.9126	0.0221	0.9164	0.0211
RIKEN	Eawag_XBridgeC18	11.0000	64.0000	0.9126	0.0221	0.9164	0.0211
RIKEN	Eawag_XBridgeC18	11.0000	inf	0.9126	0.0221	0.9164	0.0211
RIKEN	Eawag_XBridgeC18	13.0000	16.0000	0.9289	0.0269	0.9324	0.0280
RIKEN	Eawag_XBridgeC18	13.0000	32.0000	0.9310	0.0265	0.9343	0.0280
RIKEN	Eawag_XBridgeC18	13.0000	64.0000	0.9310	0.0265	0.9343	0.0280
RIKEN	Eawag_XBridgeC18	13.0000	inf	0.9310	0.0265	0.9343	0.0280
RIKEN	FEM_long	0.0000	1.0000	0.6128	0.0200	0.6129	0.0204
RIKEN	FEM_long	0.0000	2.0000	0.6556	0.0138	0.6558	0.0139
RIKEN	FEM_long	0.0000	4.0000	0.7272	0.0075	0.7274	0.0071
RIKEN	FEM_long	0.0000	8.0000	0.7991	0.0075	0.7993	0.0070
RIKEN	FEM_long	0.0000	16.0000	0.8385	0.0051	0.8385	0.0051
RIKEN	FEM_long	0.0000	32.0000	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	0.0000	64.0000	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	0.0000	inf	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	1.0000	1.0000	0.6128	0.0200	0.6129	0.0204
RIKEN	FEM_long	1.0000	2.0000	0.6556	0.0138	0.6558	0.0139
RIKEN	FEM_long	1.0000	4.0000	0.7272	0.0075	0.7274	0.0071
RIKEN	FEM_long	1.0000	8.0000	0.7991	0.0075	0.7993	0.0070
RIKEN	FEM_long	1.0000	16.0000	0.8385	0.0051	0.8385	0.0051
RIKEN	FEM_long	1.0000	32.0000	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	1.0000	64.0000	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	1.0000	inf	0.8389	0.0051	0.8389	0.0051
RIKEN	FEM_long	3.0000	4.0000	0.8091	0.0152	0.8091	0.0148
RIKEN	FEM_long	3.0000	8.0000	0.8637	0.0114	0.8639	0.0111
RIKEN	FEM_long	3.0000	16.0000	0.8939	0.0075	0.8939	0.0077
RIKEN	FEM_long	3.0000	32.0000	0.8943	0.0074	0.8942	0.0077
RIKEN	FEM_long	3.0000	64.0000	0.8943	0.0074	0.8942	0.0077
RIKEN	FEM_long	3.0000	inf	0.8943	0.0074	0.8942	0.0077
RIKEN	FEM_long	5.0000	8.0000	0.8992	0.0114	0.8994	0.0113
RIKEN	FEM_long	5.0000	16.0000	0.9246	0.0059	0.9247	0.0064
RIKEN	FEM_long	5.0000	32.0000	0.9249	0.0058	0.9250	0.0064
RIKEN	FEM_long	5.0000	64.0000	0.9249	0.0058	0.9250	0.0064
RIKEN	FEM_long	5.0000	inf	0.9249	0.0058	0.9250	0.0064
RIKEN	FEM_long	7.0000	8.0000	0.9276	0.0119	0.9278	0.0119
RIKEN	FEM_long	7.0000	16.0000	0.9460	0.0046	0.9463	0.0052
RIKEN	FEM_long	7.0000	32.0000	0.9463	0.0045	0.9466	0.0051
RIKEN	FEM_long	7.0000	64.0000	0.9463	0.0045	0.9466	0.0051
RIKEN	FEM_long	7.0000	inf	0.9463	0.0045	0.9466	0.0051
RIKEN	FEM_long	9.0000	16.0000	0.9564	0.0059	0.9567	0.0037
RIKEN	FEM_long	9.0000	32.0000	0.9568	0.0058	0.9570	0.0036
RIKEN	FEM_long	9.0000	64.0000	0.9568	0.0058	0.9570	0.0036
RIKEN	FEM_long	9.0000	inf	0.9568	0.0058	0.9570	0.0036
RIKEN	FEM_long	11.0000	16.0000	0.9563	0.0107	0.9571	0.0089
RIKEN	FEM_long	11.0000	32.0000	0.9570	0.0106	0.9576	0.0086
RIKEN	FEM_long	11.0000	64.0000	0.9570	0.0106	0.9576	0.0086
RIKEN	FEM_long	11.0000	inf	0.9570	0.0106	0.9576	0.0086
RIKEN	FEM_long	13.0000	16.0000	0.9572	0.0167	0.9577	0.0150
RIKEN	FEM_long	13.0000	32.0000	0.9586	0.0161	0.9586	0.0145
RIKEN	FEM_long	13.0000	64.0000	0.9586	0.0161	0.9586	0.0145
RIKEN	FEM_long	13.0000	inf	0.9586	0.0161	0.9586	0.0145
RIKEN	RIKEN	0.0000	1.0000	0.6272	0.0212	0.6275	0.0223
RIKEN	RIKEN	0.0000	2.0000	0.6581	0.0151	0.6582	0.0152
RIKEN	RIKEN	0.0000	4.0000	0.7262	0.0126	0.7262	0.0123
