C	epsilon	score	target_system	training_systems
0.0010	0.0001	-0.0802	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0005	-0.0802	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0010	-0.0802	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0050	-0.0803	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0100	-0.0804	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0250	-0.0808	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0500	-0.0815	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.1000	-0.0810	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.2500	-0.0807	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.5000	-0.0709	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	1.0000	-0.0606	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0001	-0.0746	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0005	-0.0746	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0010	-0.0746	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0050	-0.0746	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0100	-0.0745	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0250	-0.0748	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0500	-0.0752	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.1000	-0.0733	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.2500	-0.0698	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.5000	-0.0591	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	1.0000	-0.0512	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0001	0.0111	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0005	0.0111	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0010	0.0111	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0050	0.0112	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0100	0.0112	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0250	0.0111	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.0500	0.0121	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.1000	0.0142	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.2500	0.0164	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	0.5000	0.0253	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	1.0000	0.0318	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0001	0.4142	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0005	0.4142	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0010	0.4142	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0050	0.4143	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0100	0.4144	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0250	0.4148	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.0500	0.4154	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.1000	0.4165	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.2500	0.4166	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	0.5000	0.4103	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	1.0000	0.3938	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0001	0.7174	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0005	0.7174	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0010	0.7174	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0050	0.7174	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0100	0.7173	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0250	0.7172	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.0500	0.7171	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.1000	0.7163	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.2500	0.7118	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	0.5000	0.6999	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	1.0000	0.6692	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0001	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0005	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0010	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0050	0.7259	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0100	0.7258	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0250	0.7254	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.0500	0.7247	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.1000	0.7231	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.2500	0.7175	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	0.5000	0.7065	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	1.0000	0.6755	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0001	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0005	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0010	0.7261	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0050	0.7259	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0100	0.7258	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0250	0.7254	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.0500	0.7247	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.1000	0.7231	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.2500	0.7175	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	0.5000	0.7065	Eawag_XBridgeC18	Eawag_XBridgeC18
1000.0000	1.0000	0.6755	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0001	-0.0360	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0005	-0.0360	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0010	-0.0360	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0050	-0.0360	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0100	-0.0360	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0250	-0.0361	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.0500	-0.0361	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.1000	-0.0352	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.2500	-0.0395	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	0.5000	-0.0343	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0010	1.0000	-0.0238	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0001	-0.0274	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0005	-0.0274	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0010	-0.0274	Eawag_XBridgeC18	Eawag_XBridgeC18
0.0100	0.0050	-0.0273	Eawag_XBridgeC18	Eawag_XBridgeC18
