target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
FEM_long	FEM_long	0.0000	1.0000	0.6103	0.0221	0.6105	0.0220
FEM_long	FEM_long	0.0000	2.0000	0.6609	0.0168	0.6610	0.0167
FEM_long	FEM_long	0.0000	4.0000	0.7232	0.0124	0.7233	0.0122
FEM_long	FEM_long	0.0000	8.0000	0.7972	0.0106	0.7973	0.0104
FEM_long	FEM_long	0.0000	16.0000	0.8635	0.0093	0.8635	0.0092
FEM_long	FEM_long	0.0000	32.0000	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	0.0000	64.0000	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	0.0000	inf	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	1.0000	1.0000	0.6103	0.0221	0.6105	0.0220
FEM_long	FEM_long	1.0000	2.0000	0.6609	0.0168	0.6610	0.0167
FEM_long	FEM_long	1.0000	4.0000	0.7232	0.0124	0.7233	0.0122
FEM_long	FEM_long	1.0000	8.0000	0.7972	0.0106	0.7973	0.0104
FEM_long	FEM_long	1.0000	16.0000	0.8635	0.0093	0.8635	0.0092
FEM_long	FEM_long	1.0000	32.0000	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	1.0000	64.0000	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	1.0000	inf	0.8859	0.0082	0.8859	0.0082
FEM_long	FEM_long	3.0000	4.0000	0.7904	0.0124	0.7905	0.0121
FEM_long	FEM_long	3.0000	8.0000	0.8507	0.0106	0.8508	0.0106
FEM_long	FEM_long	3.0000	16.0000	0.9050	0.0091	0.9050	0.0091
FEM_long	FEM_long	3.0000	32.0000	0.9230	0.0078	0.9229	0.0078
FEM_long	FEM_long	3.0000	64.0000	0.9230	0.0078	0.9229	0.0078
FEM_long	FEM_long	3.0000	inf	0.9230	0.0078	0.9229	0.0078
FEM_long	FEM_long	5.0000	8.0000	0.8850	0.0125	0.8851	0.0126
FEM_long	FEM_long	5.0000	16.0000	0.9319	0.0093	0.9319	0.0093
FEM_long	FEM_long	5.0000	32.0000	0.9468	0.0077	0.9467	0.0077
FEM_long	FEM_long	5.0000	64.0000	0.9468	0.0077	0.9467	0.0077
FEM_long	FEM_long	5.0000	inf	0.9468	0.0077	0.9467	0.0077
FEM_long	FEM_long	7.0000	8.0000	0.9098	0.0140	0.9099	0.0140
FEM_long	FEM_long	7.0000	16.0000	0.9509	0.0089	0.9509	0.0089
FEM_long	FEM_long	7.0000	32.0000	0.9634	0.0071	0.9634	0.0072
FEM_long	FEM_long	7.0000	64.0000	0.9634	0.0071	0.9634	0.0072
FEM_long	FEM_long	7.0000	inf	0.9634	0.0071	0.9634	0.0072
FEM_long	FEM_long	9.0000	16.0000	0.9646	0.0076	0.9645	0.0075
FEM_long	FEM_long	9.0000	32.0000	0.9752	0.0059	0.9751	0.0059
FEM_long	FEM_long	9.0000	64.0000	0.9752	0.0059	0.9751	0.0059
FEM_long	FEM_long	9.0000	inf	0.9752	0.0059	0.9751	0.0059
FEM_long	FEM_long	11.0000	16.0000	0.9757	0.0062	0.9757	0.0062
FEM_long	FEM_long	11.0000	32.0000	0.9842	0.0047	0.9842	0.0047
FEM_long	FEM_long	11.0000	64.0000	0.9842	0.0047	0.9842	0.0047
FEM_long	FEM_long	11.0000	inf	0.9842	0.0047	0.9842	0.0047
FEM_long	FEM_long	13.0000	16.0000	0.9836	0.0064	0.9836	0.0064
FEM_long	FEM_long	13.0000	32.0000	0.9902	0.0043	0.9902	0.0043
FEM_long	FEM_long	13.0000	64.0000	0.9902	0.0043	0.9902	0.0043
FEM_long	FEM_long	13.0000	inf	0.9902	0.0043	0.9902	0.0043
