C	epsilon	target_system	training_systems
1000	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.1000	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0100	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
1000	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
100	0.0001	FEM_long	FEM_long
