C	epsilon	score	target_system	training_systems
0.001	1e-04	-0.6744	UFZ_Phenomenex	UFZ_Phenomenex
0.001	5e-04	-0.6744	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.001	-0.6744	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.005	-0.6744	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.01	-0.6744	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.025	-0.6745	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.05	-0.6748	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.1	-0.6742	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.25	-0.6737	UFZ_Phenomenex	UFZ_Phenomenex
0.001	0.5	-0.6664	UFZ_Phenomenex	UFZ_Phenomenex
0.001	1	-0.6959	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1e-04	-0.6697	UFZ_Phenomenex	UFZ_Phenomenex
0.01	5e-04	-0.6697	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.001	-0.6697	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.005	-0.6697	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.01	-0.6698	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.025	-0.6698	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.05	-0.6714	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.1	-0.673	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.25	-0.6729	UFZ_Phenomenex	UFZ_Phenomenex
0.01	0.5	-0.6644	UFZ_Phenomenex	UFZ_Phenomenex
0.01	1	-0.6926	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1e-04	-0.6354	UFZ_Phenomenex	UFZ_Phenomenex
0.1	5e-04	-0.6354	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.001	-0.6354	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.005	-0.6355	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.01	-0.6355	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.025	-0.6357	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.05	-0.6368	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.1	-0.6445	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.25	-0.644	UFZ_Phenomenex	UFZ_Phenomenex
0.1	0.5	-0.6538	UFZ_Phenomenex	UFZ_Phenomenex
0.1	1	-0.6599	UFZ_Phenomenex	UFZ_Phenomenex
1	1e-04	-0.4847	UFZ_Phenomenex	UFZ_Phenomenex
1	5e-04	-0.4848	UFZ_Phenomenex	UFZ_Phenomenex
1	0.001	-0.4848	UFZ_Phenomenex	UFZ_Phenomenex
