target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_long	FEM_long	0	1	0	0	126	28.1	-1	27.38	26.5209	0	0	2.5306	0.3015	0	0.6479	0.6479
FEM_long	FEM_long	0	2	0	0	126	28.1	-1	53.76	26.5209	0	0	2.5306	0.3015	0	1.2958	1.2958
FEM_long	FEM_long	0	4	0	0	126	28.1	-1	103.53	26.5209	0	0	2.5306	0.3015	0	2.657	2.657
FEM_long	FEM_long	0	8	0	0	126	28.1	-1	190.78	26.5209	0	0	2.5306	0.3015	0	4.7537	4.7537
FEM_long	FEM_long	0	16	0	0	126	28.1	-1	315.85	26.5209	0	0	2.5306	0.3015	0	6.7261	6.7261
FEM_long	FEM_long	0	32	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	0	64	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	0	Inf	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	1	1	0	0	126	28.1	-1	27.38	26.5209	0	0	2.5306	0.3015	0	0.6479	0.6479
FEM_long	FEM_long	1	2	0	0	126	28.1	-1	53.76	26.5209	0	0	2.5306	0.3015	0	1.2958	1.2958
FEM_long	FEM_long	1	4	0	0	126	28.1	-1	103.53	26.5209	0	0	2.5306	0.3015	0	2.657	2.657
FEM_long	FEM_long	1	8	0	0	126	28.1	-1	190.78	26.5209	0	0	2.5306	0.3015	0	4.7537	4.7537
FEM_long	FEM_long	1	16	0	0	126	28.1	-1	315.85	26.5209	0	0	2.5306	0.3015	0	6.7261	6.7261
FEM_long	FEM_long	1	32	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	1	64	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	1	Inf	0	0	126	28.1	-1	380.51	26.5209	0	0	2.5306	0.3015	0	8.4273	8.4273
FEM_long	FEM_long	3	4	0	0	126	28.1	-1	49.77	26.5209	0	0	2.5306	0.3015	0	1.3696	1.3696
FEM_long	FEM_long	3	8	0	0	126	28.1	-1	137.02	26.5209	0	0	2.5306	0.3015	0	3.4786	3.4786
FEM_long	FEM_long	3	16	0	0	126	28.1	-1	262.09	26.5209	0	0	2.5306	0.3015	0	5.5215	5.5215
FEM_long	FEM_long	3	32	0	0	126	28.1	-1	326.75	26.5209	0	0	2.5306	0.3015	0	7.9078	7.9078
FEM_long	FEM_long	3	64	0	0	126	28.1	-1	326.75	26.5209	0	0	2.5306	0.3015	0	7.9078	7.9078
FEM_long	FEM_long	3	Inf	0	0	126	28.1	-1	326.75	26.5209	0	0	2.5306	0.3015	0	7.9078	7.9078
FEM_long	FEM_long	5	8	0	0	126	28.1	-1	87.25	26.5209	0	0	2.5306	0.3015	0	2.1667	2.1667
FEM_long	FEM_long	5	16	0	0	126	28.1	-1	212.32	26.5209	0	0	2.5306	0.3015	0	4.3598	4.3598
FEM_long	FEM_long	5	32	0	0	126	28.1	-1	276.98	26.5209	0	0	2.5306	0.3015	0	7.6488	7.6488
FEM_long	FEM_long	5	64	0	0	126	28.1	-1	276.98	26.5209	0	0	2.5306	0.3015	0	7.6488	7.6488
FEM_long	FEM_long	5	Inf	0	0	126	28.1	-1	276.98	26.5209	0	0	2.5306	0.3015	0	7.6488	7.6488
FEM_long	FEM_long	7	8	0	0	126	28.1	-1	41.56	26.5209	0	0	2.5306	0.3015	0	1.0182	1.0182
FEM_long	FEM_long	7	16	0	0	126	28.1	-1	166.63	26.5209	0	0	2.5306	0.3015	0	3.3864	3.3864
FEM_long	FEM_long	7	32	0	0	126	28.1	-1	231.29	26.5209	0	0	2.5306	0.3015	0	7.5629	7.5629
FEM_long	FEM_long	7	64	0	0	126	28.1	-1	231.29	26.5209	0	0	2.5306	0.3015	0	7.5629	7.5629
FEM_long	FEM_long	7	Inf	0	0	126	28.1	-1	231.29	26.5209	0	0	2.5306	0.3015	0	7.5629	7.5629
FEM_long	FEM_long	9	16	0	0	126	28.1	-1	125.07	26.5209	0	0	2.5306	0.3015	0	2.5436	2.5436
FEM_long	FEM_long	9	32	0	0	126	28.1	-1	189.73	26.5209	0	0	2.5306	0.3015	0	7.4466	7.4466
FEM_long	FEM_long	9	64	0	0	126	28.1	-1	189.73	26.5209	0	0	2.5306	0.3015	0	7.4466	7.4466
FEM_long	FEM_long	9	Inf	0	0	126	28.1	-1	189.73	26.5209	0	0	2.5306	0.3015	0	7.4466	7.4466
FEM_long	FEM_long	11	16	0	0	126	28.1	-1	87.56	26.5209	0	0	2.5306	0.3015	0	1.8385	1.8385
FEM_long	FEM_long	11	32	0	0	126	28.1	-1	152.22	26.5209	0	0	2.5306	0.3015	0	7.389	7.389
FEM_long	FEM_long	11	64	0	0	126	28.1	-1	152.22	26.5209	0	0	2.5306	0.3015	0	7.389	7.389
FEM_long	FEM_long	11	Inf	0	0	126	28.1	-1	152.22	26.5209	0	0	2.5306	0.3015	0	7.389	7.389
FEM_long	FEM_long	13	16	0	0	126	28.1	-1	54.26	26.5209	0	0	2.5306	0.3015	0	1.3456	1.3456
FEM_long	FEM_long	13	32	0	0	126	28.1	-1	118.92	26.5209	0	0	2.5306	0.3015	0	7.1417	7.1417
FEM_long	FEM_long	13	64	0	0	126	28.1	-1	118.92	26.5209	0	0	2.5306	0.3015	0	7.1417	7.1417
FEM_long	FEM_long	13	Inf	0	0	126	28.1	-1	118.92	26.5209	0	0	2.5306	0.3015	0	7.1417	7.1417
Eawag_XBridgeC18	Eawag_XBridgeC18	0	1	0	0	142.2	31.7	-1	34.32	28.6536	0	0	2.5584	0.4606	0	2.2692	2.2692
Eawag_XBridgeC18	Eawag_XBridgeC18	0	2	0	0	142.2	31.7	-1	67.61	28.6536	0	0	2.5584	0.4606	0	4.4356	4.4356
Eawag_XBridgeC18	Eawag_XBridgeC18	0	4	0	0	142.2	31.7	-1	130.59	28.6536	0	0	2.5584	0.4606	0	8.1341	8.1341
Eawag_XBridgeC18	Eawag_XBridgeC18	0	8	0	0	142.2	31.7	-1	241.79	28.6536	0	0	2.5584	0.4606	0	14.5951	14.5951
Eawag_XBridgeC18	Eawag_XBridgeC18	0	16	0	0	142.2	31.7	-1	400.39	28.6536	0	0	2.5584	0.4606	0	18.3429	18.3429
Eawag_XBridgeC18	Eawag_XBridgeC18	0	32	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	0	64	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	0	Inf	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	1	1	0	0	142.2	31.7	-1	34.32	28.6536	0	0	2.5584	0.4606	0	2.2692	2.2692
Eawag_XBridgeC18	Eawag_XBridgeC18	1	2	0	0	142.2	31.7	-1	67.61	28.6536	0	0	2.5584	0.4606	0	4.4356	4.4356
Eawag_XBridgeC18	Eawag_XBridgeC18	1	4	0	0	142.2	31.7	-1	130.59	28.6536	0	0	2.5584	0.4606	0	8.1341	8.1341
Eawag_XBridgeC18	Eawag_XBridgeC18	1	8	0	0	142.2	31.7	-1	241.79	28.6536	0	0	2.5584	0.4606	0	14.5951	14.5951
Eawag_XBridgeC18	Eawag_XBridgeC18	1	16	0	0	142.2	31.7	-1	400.39	28.6536	0	0	2.5584	0.4606	0	18.3429	18.3429
Eawag_XBridgeC18	Eawag_XBridgeC18	1	32	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	1	64	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	1	Inf	0	0	142.2	31.7	-1	483.12	28.6536	0	0	2.5584	0.4606	0	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	3	4	0	0	142.2	31.7	-1	62.98	28.6536	0	0	2.5584	0.4606	0	3.8507	3.8507
Eawag_XBridgeC18	Eawag_XBridgeC18	3	8	0	0	142.2	31.7	-1	174.18	28.6536	0	0	2.5584	0.4606	0	10.4169	10.4169
Eawag_XBridgeC18	Eawag_XBridgeC18	3	16	0	0	142.2	31.7	-1	332.78	28.6536	0	0	2.5584	0.4606	0	14.396	14.396
Eawag_XBridgeC18	Eawag_XBridgeC18	3	32	0	0	142.2	31.7	-1	415.51	28.6536	0	0	2.5584	0.4606	0	13.5747	13.5747
Eawag_XBridgeC18	Eawag_XBridgeC18	3	64	0	0	142.2	31.7	-1	415.51	28.6536	0	0	2.5584	0.4606	0	13.5747	13.5747
Eawag_XBridgeC18	Eawag_XBridgeC18	3	Inf	0	0	142.2	31.7	-1	415.51	28.6536	0	0	2.5584	0.4606	0	13.5747	13.5747
Eawag_XBridgeC18	Eawag_XBridgeC18	5	8	0	0	142.2	31.7	-1	111.2	28.6536	0	0	2.5584	0.4606	0	6.7808	6.7808
Eawag_XBridgeC18	Eawag_XBridgeC18	5	16	0	0	142.2	31.7	-1	269.8	28.6536	0	0	2.5584	0.4606	0	10.9977	10.9977
Eawag_XBridgeC18	Eawag_XBridgeC18	5	32	0	0	142.2	31.7	-1	352.53	28.6536	0	0	2.5584	0.4606	0	14.1453	14.1453
