C	score	target_system	training_systems
0.0010	0.6633	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6633	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7449	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7861	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7847	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7695	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6828	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6763	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6763	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7433	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7945	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7873	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7729	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.7051	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6305	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6305	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7375	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8017	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7946	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7739	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6491	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6576	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6576	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7489	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7753	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7753	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7646	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6783	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6387	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6387	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7304	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7895	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7838	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7781	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6615	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6417	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6417	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7101	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7856	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7842	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7521	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6538	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6826	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6826	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7630	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.8107	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.8057	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7851	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6890	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6564	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6564	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7450	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7964	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7821	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7586	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6679	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6678	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6678	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7168	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7828	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7771	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7509	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6813	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6371	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6371	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7301	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7638	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7595	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7638	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6643	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6691	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6691	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7534	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7743	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7700	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7736	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6943	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6753	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6753	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7294	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7828	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7850	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7576	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6977	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6437	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6437	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7141	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7809	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7774	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7447	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6565	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6624	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6624	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7415	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7934	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7899	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7699	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6823	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6447	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6447	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7148	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7991	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.8091	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7713	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.6548	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6816	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6816	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7315	UFZ_Phenomenex	UFZ_Phenomenex
1.0000	0.7785	UFZ_Phenomenex	UFZ_Phenomenex
10.0000	0.7628	UFZ_Phenomenex	UFZ_Phenomenex
100.0000	0.7642	UFZ_Phenomenex	UFZ_Phenomenex
1000.0000	0.7023	UFZ_Phenomenex	UFZ_Phenomenex
0.0010	0.6512	UFZ_Phenomenex	UFZ_Phenomenex
0.0100	0.6512	UFZ_Phenomenex	UFZ_Phenomenex
0.1000	0.7409	UFZ_Phenomenex	UFZ_Phenomenex
