target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	1.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	19.2600	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	1.1247	1.1247
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	2.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	37.3500	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	2.0069	2.0069
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	4.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	70.3300	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	3.8588	3.8588
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	8.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	122.5700	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	5.9768	5.9768
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	16.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	171.9300	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	6.7544	6.7544
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	32.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	64.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	0.0000	inf	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	1.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	19.2600	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	1.1247	1.1247
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	2.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	37.3500	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	2.0069	2.0069
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	4.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	70.3300	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	3.8588	3.8588
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	8.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	122.5700	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	5.9768	5.9768
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	16.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	171.9300	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	6.7544	6.7544
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	32.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	64.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	1.0000	inf	6.9000	0.3596	933.7000	19.2000	29189.7500	173.8100	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.7377	7.7377
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	4.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	32.9800	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	1.9642	1.9642
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	8.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	85.2200	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	4.2058	4.2058
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	16.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	134.5800	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	6.3216	6.3216
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	32.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	136.4600	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	64.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	136.4600	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	3.0000	inf	6.9000	0.3596	933.7000	19.2000	29189.7500	136.4600	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.5911	7.5911
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	8.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	52.2400	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	2.5391	2.5391
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	16.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	101.6000	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	6.4307	6.4307
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	32.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	103.4800	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	64.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	103.4800	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	5.0000	inf	6.9000	0.3596	933.7000	19.2000	29189.7500	103.4800	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	7.8425	7.8425
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	8.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	23.8300	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	1.2314	1.2314
UFZ_Phenomenex	Eawag_XBridgeC18;FEM_long;RIKEN;UFZ_Phenomenex;LIFE_old	7.0000	16.0000	6.9000	0.3596	933.7000	19.2000	29189.7500	73.1900	143.2701	2.0176	0.1058	2.0671	0.4020	94.0589	6.4771	6.4771
