C	target_system	training_systems
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
100.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
0.1000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
1.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
10.0000	Eawag_XBridgeC18	Eawag_XBridgeC18
