C	score	target_system	training_systems
0.0010	0.7669	FEM_long	FEM_long
0.0100	0.7669	FEM_long	FEM_long
0.1000	0.8662	FEM_long	FEM_long
1.0000	0.8835	FEM_long	FEM_long
10.0000	0.8835	FEM_long	FEM_long
100.0000	0.8547	FEM_long	FEM_long
1000.0000	0.7871	FEM_long	FEM_long
0.0010	0.7841	FEM_long	FEM_long
0.0100	0.7841	FEM_long	FEM_long
0.1000	0.8715	FEM_long	FEM_long
1.0000	0.8940	FEM_long	FEM_long
10.0000	0.9126	FEM_long	FEM_long
100.0000	0.8821	FEM_long	FEM_long
1000.0000	0.8212	FEM_long	FEM_long
0.0010	0.7432	FEM_long	FEM_long
0.0100	0.7432	FEM_long	FEM_long
0.1000	0.8620	FEM_long	FEM_long
1.0000	0.8648	FEM_long	FEM_long
10.0000	0.8634	FEM_long	FEM_long
100.0000	0.8415	FEM_long	FEM_long
1000.0000	0.7787	FEM_long	FEM_long
0.0010	0.7666	FEM_long	FEM_long
0.0100	0.7666	FEM_long	FEM_long
0.1000	0.8647	FEM_long	FEM_long
1.0000	0.8873	FEM_long	FEM_long
10.0000	0.8899	FEM_long	FEM_long
100.0000	0.8740	FEM_long	FEM_long
1000.0000	0.7931	FEM_long	FEM_long
0.0010	0.7520	FEM_long	FEM_long
0.0100	0.7520	FEM_long	FEM_long
0.1000	0.8551	FEM_long	FEM_long
1.0000	0.8877	FEM_long	FEM_long
10.0000	0.8916	FEM_long	FEM_long
100.0000	0.8616	FEM_long	FEM_long
1000.0000	0.7937	FEM_long	FEM_long
0.0010	0.7911	FEM_long	FEM_long
0.0100	0.7911	FEM_long	FEM_long
0.1000	0.8464	FEM_long	FEM_long
1.0000	0.8706	FEM_long	FEM_long
10.0000	0.8720	FEM_long	FEM_long
100.0000	0.8423	FEM_long	FEM_long
1000.0000	0.7925	FEM_long	FEM_long
0.0010	0.7385	FEM_long	FEM_long
0.0100	0.7385	FEM_long	FEM_long
0.1000	0.8491	FEM_long	FEM_long
1.0000	0.8707	FEM_long	FEM_long
10.0000	0.8693	FEM_long	FEM_long
100.0000	0.8434	FEM_long	FEM_long
1000.0000	0.7687	FEM_long	FEM_long
0.0010	0.7022	FEM_long	FEM_long
0.0100	0.7022	FEM_long	FEM_long
0.1000	0.8265	FEM_long	FEM_long
1.0000	0.8402	FEM_long	FEM_long
10.0000	0.8402	FEM_long	FEM_long
100.0000	0.8279	FEM_long	FEM_long
1000.0000	0.7295	FEM_long	FEM_long
0.0010	0.7790	FEM_long	FEM_long
0.0100	0.7790	FEM_long	FEM_long
0.1000	0.8513	FEM_long	FEM_long
1.0000	0.8584	FEM_long	FEM_long
10.0000	0.8654	FEM_long	FEM_long
100.0000	0.8584	FEM_long	FEM_long
1000.0000	0.7946	FEM_long	FEM_long
0.0010	0.7295	FEM_long	FEM_long
0.0100	0.7295	FEM_long	FEM_long
0.1000	0.8552	FEM_long	FEM_long
1.0000	0.8675	FEM_long	FEM_long
10.0000	0.8743	FEM_long	FEM_long
100.0000	0.8361	FEM_long	FEM_long
1000.0000	0.7896	FEM_long	FEM_long
0.0010	0.7295	FEM_long	FEM_long
0.0100	0.7295	FEM_long	FEM_long
0.1000	0.8480	FEM_long	FEM_long
1.0000	0.8743	FEM_long	FEM_long
10.0000	0.8787	FEM_long	FEM_long
100.0000	0.8436	FEM_long	FEM_long
1000.0000	0.7544	FEM_long	FEM_long
0.0010	0.7288	FEM_long	FEM_long
0.0100	0.7288	FEM_long	FEM_long
0.1000	0.8470	FEM_long	FEM_long
1.0000	0.8915	FEM_long	FEM_long
10.0000	0.8887	FEM_long	FEM_long
100.0000	0.8581	FEM_long	FEM_long
1000.0000	0.7663	FEM_long	FEM_long
0.0010	0.7022	FEM_long	FEM_long
0.0100	0.7022	FEM_long	FEM_long
0.1000	0.8361	FEM_long	FEM_long
1.0000	0.8825	FEM_long	FEM_long
10.0000	0.8784	FEM_long	FEM_long
100.0000	0.8538	FEM_long	FEM_long
1000.0000	0.7473	FEM_long	FEM_long
0.0010	0.7262	FEM_long	FEM_long
0.0100	0.7262	FEM_long	FEM_long
0.1000	0.8565	FEM_long	FEM_long
1.0000	0.8755	FEM_long	FEM_long
10.0000	0.8814	FEM_long	FEM_long
100.0000	0.8712	FEM_long	FEM_long
1000.0000	0.7555	FEM_long	FEM_long
0.0010	0.7049	FEM_long	FEM_long
0.0100	0.7049	FEM_long	FEM_long
0.1000	0.8411	FEM_long	FEM_long
1.0000	0.8890	FEM_long	FEM_long
10.0000	0.8966	FEM_long	FEM_long
100.0000	0.8613	FEM_long	FEM_long
1000.0000	0.7768	FEM_long	FEM_long
0.0010	0.7100	FEM_long	FEM_long
0.0100	0.7100	FEM_long	FEM_long
0.1000	0.8659	FEM_long	FEM_long
1.0000	0.8906	FEM_long	FEM_long
10.0000	0.8878	FEM_long	FEM_long
100.0000	0.8824	FEM_long	FEM_long
1000.0000	0.7565	FEM_long	FEM_long
0.0010	0.7238	FEM_long	FEM_long
0.0100	0.7238	FEM_long	FEM_long
0.1000	0.8406	FEM_long	FEM_long
1.0000	0.8765	FEM_long	FEM_long
10.0000	0.8778	FEM_long	FEM_long
100.0000	0.8606	FEM_long	FEM_long
1000.0000	0.7463	FEM_long	FEM_long
0.0010	0.7182	FEM_long	FEM_long
0.0100	0.7182	FEM_long	FEM_long
0.1000	0.8509	FEM_long	FEM_long
1.0000	0.9001	FEM_long	FEM_long
10.0000	0.9056	FEM_long	FEM_long
100.0000	0.8646	FEM_long	FEM_long
1000.0000	0.7620	FEM_long	FEM_long
0.0010	0.7520	FEM_long	FEM_long
0.0100	0.7520	FEM_long	FEM_long
0.1000	0.8760	FEM_long	FEM_long
1.0000	0.9034	FEM_long	FEM_long
10.0000	0.9073	FEM_long	FEM_long
100.0000	0.8760	FEM_long	FEM_long
1000.0000	0.7742	FEM_long	FEM_long
0.0010	0.7218	FEM_long	FEM_long
0.0100	0.7218	FEM_long	FEM_long
0.1000	0.8637	FEM_long	FEM_long
1.0000	0.8901	FEM_long	FEM_long
10.0000	0.8873	FEM_long	FEM_long
100.0000	0.8748	FEM_long	FEM_long
1000.0000	0.7622	FEM_long	FEM_long
0.0010	0.7256	FEM_long	FEM_long
0.0100	0.7256	FEM_long	FEM_long
0.1000	0.8305	FEM_long	FEM_long
1.0000	0.8865	FEM_long	FEM_long
10.0000	0.8793	FEM_long	FEM_long
100.0000	0.8448	FEM_long	FEM_long
1000.0000	0.7471	FEM_long	FEM_long
0.0010	0.7213	FEM_long	FEM_long
0.0100	0.7213	FEM_long	FEM_long
0.1000	0.8204	FEM_long	FEM_long
