target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
FEM_long	FEM_long	0.0000	1.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	27.3800	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	0.6479	0.6479
FEM_long	FEM_long	0.0000	2.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	53.7600	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	1.2958	1.2958
FEM_long	FEM_long	0.0000	4.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	103.5300	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	2.6570	2.6570
FEM_long	FEM_long	0.0000	8.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	190.7800	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	4.7537	4.7537
FEM_long	FEM_long	0.0000	16.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	315.8500	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	6.7261	6.7261
FEM_long	FEM_long	0.0000	32.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	380.5100	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	8.4273	8.4273
FEM_long	FEM_long	0.0000	64.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	380.5100	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	8.4273	8.4273
FEM_long	FEM_long	0.0000	inf	0.0000	0.0000	227.7000	28.1000	3860.9200	380.5100	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	8.4273	8.4273
FEM_long	FEM_long	1.0000	1.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	27.3800	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	0.6479	0.6479
FEM_long	FEM_long	1.0000	2.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	53.7600	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	1.2958	1.2958
FEM_long	FEM_long	1.0000	4.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	103.5300	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	2.6570	2.6570
FEM_long	FEM_long	1.0000	8.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	190.7800	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	4.7537	4.7537
FEM_long	FEM_long	1.0000	16.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	315.8500	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	6.7261	6.7261
FEM_long	FEM_long	1.0000	32.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	380.5100	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	8.4273	8.4273
FEM_long	FEM_long	1.0000	64.0000	0.0000	0.0000	227.7000	28.1000	3860.9200	380.5100	12.0268	0.0000	0.0000	1.6606	0.3015	53.1624	8.4273	8.4273
