target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	1.0000	0.5277	0.0255	0.5280	0.0248
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	2.0000	0.5543	0.0163	0.5543	0.0162
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	4.0000	0.5928	0.0202	0.5927	0.0202
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	8.0000	0.6477	0.0235	0.6477	0.0232
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	16.0000	0.7061	0.0263	0.7059	0.0265
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	32.0000	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	64.0000	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	inf	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	1.0000	0.5277	0.0255	0.5280	0.0248
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	2.0000	0.5543	0.0163	0.5543	0.0162
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	4.0000	0.5928	0.0202	0.5927	0.0202
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	8.0000	0.6477	0.0235	0.6477	0.0232
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	16.0000	0.7061	0.0263	0.7059	0.0265
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	32.0000	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	64.0000	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	inf	0.7087	0.0266	0.7084	0.0270
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	4.0000	0.6365	0.0304	0.6361	0.0302
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	8.0000	0.6887	0.0290	0.6885	0.0286
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	16.0000	0.7482	0.0305	0.7478	0.0310
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	32.0000	0.7510	0.0308	0.7504	0.0314
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	64.0000	0.7510	0.0308	0.7504	0.0314
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	inf	0.7510	0.0308	0.7504	0.0314
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	8.0000	0.7216	0.0329	0.7214	0.0329
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	16.0000	0.7843	0.0331	0.7838	0.0340
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	32.0000	0.7874	0.0332	0.7865	0.0344
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	64.0000	0.7874	0.0332	0.7865	0.0344
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	inf	0.7874	0.0332	0.7865	0.0344
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	8.0000	0.7634	0.0393	0.7631	0.0391
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	16.0000	0.8223	0.0340	0.8216	0.0356
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	32.0000	0.8256	0.0340	0.8244	0.0360
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	64.0000	0.8256	0.0340	0.8244	0.0360
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	inf	0.8256	0.0340	0.8244	0.0360
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	16.0000	0.8507	0.0329	0.8494	0.0353
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	32.0000	0.8545	0.0328	0.8525	0.0358
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	64.0000	0.8545	0.0328	0.8525	0.0358
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	inf	0.8545	0.0328	0.8525	0.0358
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	16.0000	0.8761	0.0360	0.8737	0.0393
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	32.0000	0.8806	0.0352	0.8773	0.0392
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	64.0000	0.8806	0.0352	0.8773	0.0392
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	inf	0.8806	0.0352	0.8773	0.0392
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	16.0000	0.8883	0.0375	0.8830	0.0470
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	32.0000	0.8954	0.0354	0.8880	0.0466
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	64.0000	0.8954	0.0354	0.8880	0.0466
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	inf	0.8954	0.0354	0.8880	0.0466
