C	score	target_system	training_systems
0.001	0.7391	RIKEN	RIKEN
0.01	0.7391	RIKEN	RIKEN
0.1	0.8609	RIKEN	RIKEN
1	0.8696	RIKEN	RIKEN
10	0.8574	RIKEN	RIKEN
100	0.8557	RIKEN	RIKEN
1000	0.7374	RIKEN	RIKEN
0.001	0.7355	RIKEN	RIKEN
0.01	0.7355	RIKEN	RIKEN
0.1	0.7934	RIKEN	RIKEN
1	0.8165	RIKEN	RIKEN
10	0.8198	RIKEN	RIKEN
100	0.795	RIKEN	RIKEN
1000	0.7372	RIKEN	RIKEN
0.001	0.7332	RIKEN	RIKEN
0.01	0.7332	RIKEN	RIKEN
0.1	0.8265	RIKEN	RIKEN
1	0.8363	RIKEN	RIKEN
10	0.8298	RIKEN	RIKEN
100	0.8134	RIKEN	RIKEN
1000	0.7365	RIKEN	RIKEN
0.001	0.7407	RIKEN	RIKEN
0.01	0.7407	RIKEN	RIKEN
0.1	0.8407	RIKEN	RIKEN
1	0.8424	RIKEN	RIKEN
10	0.8322	RIKEN	RIKEN
100	0.8237	RIKEN	RIKEN
1000	0.7525	RIKEN	RIKEN
0.001	0.747	RIKEN	RIKEN
0.01	0.747	RIKEN	RIKEN
0.1	0.8251	RIKEN	RIKEN
1	0.8285	RIKEN	RIKEN
10	0.8302	RIKEN	RIKEN
100	0.8081	RIKEN	RIKEN
1000	0.7623	RIKEN	RIKEN
0.001	0.7037	RIKEN	RIKEN
0.01	0.7037	RIKEN	RIKEN
0.1	0.7937	RIKEN	RIKEN
1	0.7937	RIKEN	RIKEN
10	0.8042	RIKEN	RIKEN
100	0.7795	RIKEN	RIKEN
1000	0.7037	RIKEN	RIKEN
0.001	0.7116	RIKEN	RIKEN
0.01	0.7116	RIKEN	RIKEN
0.1	0.7997	RIKEN	RIKEN
1	0.8048	RIKEN	RIKEN
10	0.7997	RIKEN	RIKEN
100	0.7824	RIKEN	RIKEN
1000	0.7168	RIKEN	RIKEN
0.001	0.75	RIKEN	RIKEN
0.01	0.75	RIKEN	RIKEN
0.1	0.8432	RIKEN	RIKEN
1	0.8401	RIKEN	RIKEN
10	0.8432	RIKEN	RIKEN
100	0.8323	RIKEN	RIKEN
1000	0.7516	RIKEN	RIKEN
0.001	0.7288	RIKEN	RIKEN
0.01	0.7288	RIKEN	RIKEN
0.1	0.8153	RIKEN	RIKEN
1	0.8186	RIKEN	RIKEN
10	0.8271	RIKEN	RIKEN
100	0.8153	RIKEN	RIKEN
1000	0.7339	RIKEN	RIKEN
0.001	0.7345	RIKEN	RIKEN
0.01	0.7345	RIKEN	RIKEN
0.1	0.8345	RIKEN	RIKEN
1	0.8466	RIKEN	RIKEN
10	0.8466	RIKEN	RIKEN
100	0.8276	RIKEN	RIKEN
1000	0.7431	RIKEN	RIKEN
