target_system	training_systems	d_lower	d_upper	n_shared_mol	p_shared_mol	n_train_mol	n_test_mol	n_train_pairs	n_test_pairs	grid_search_time	n_shared_mol_std	p_shared_mol_std	n_train_mol_std	n_test_mol_std	n_train_pairs_std	n_test_pairs_std	grid_search_time_std
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	1.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	34.3200	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	2.2692	2.2692
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	2.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	67.6100	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	4.4356	4.4356
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	4.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	130.5900	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	8.1341	8.1341
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	8.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	241.7900	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	14.5951	14.5951
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	16.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	400.3900	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	18.3429	18.3429
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	32.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	483.1200	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	64.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	483.1200	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	0.0000	inf	0.0000	0.0000	171.0000	31.7000	-1.0000	483.1200	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	14.0808	14.0808
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	1.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	34.3200	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	2.2692	2.2692
Eawag_XBridgeC18	Eawag_XBridgeC18	1.0000	2.0000	0.0000	0.0000	171.0000	31.7000	-1.0000	67.6100	29.2036	0.0000	0.0000	2.7340	0.4606	0.0000	4.4356	4.4356
