target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	1.0000	0.5517	0.0271	0.5521	0.0267
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	2.0000	0.5918	0.0191	0.5922	0.0193
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	4.0000	0.6496	0.0132	0.6496	0.0135
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	8.0000	0.7287	0.0161	0.7285	0.0160
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	16.0000	0.7914	0.0132	0.7911	0.0133
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	32.0000	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	64.0000	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	0.0000	inf	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	1.0000	0.5517	0.0271	0.5521	0.0267
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	2.0000	0.5918	0.0191	0.5922	0.0193
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	4.0000	0.6496	0.0132	0.6496	0.0135
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	8.0000	0.7287	0.0161	0.7285	0.0160
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	16.0000	0.7914	0.0132	0.7911	0.0133
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	32.0000	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	64.0000	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	1.0000	inf	0.7934	0.0131	0.7931	0.0131
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	4.0000	0.7152	0.0212	0.7145	0.0204
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	8.0000	0.7888	0.0192	0.7882	0.0187
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	16.0000	0.8468	0.0140	0.8465	0.0142
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	32.0000	0.8486	0.0138	0.8482	0.0140
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	64.0000	0.8486	0.0138	0.8482	0.0140
UFZ_Phenomenex	UFZ_Phenomenex	3.0000	inf	0.8486	0.0138	0.8482	0.0140
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	8.0000	0.8352	0.0215	0.8346	0.0213
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	16.0000	0.8895	0.0141	0.8891	0.0144
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	32.0000	0.8911	0.0138	0.8907	0.0142
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	64.0000	0.8911	0.0138	0.8907	0.0142
UFZ_Phenomenex	UFZ_Phenomenex	5.0000	inf	0.8911	0.0138	0.8907	0.0142
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	8.0000	0.8703	0.0274	0.8697	0.0272
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	16.0000	0.9220	0.0144	0.9216	0.0147
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	32.0000	0.9235	0.0141	0.9230	0.0146
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	64.0000	0.9235	0.0141	0.9230	0.0146
UFZ_Phenomenex	UFZ_Phenomenex	7.0000	inf	0.9235	0.0141	0.9230	0.0146
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	16.0000	0.9470	0.0112	0.9470	0.0114
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	32.0000	0.9482	0.0111	0.9481	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	64.0000	0.9482	0.0111	0.9481	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	9.0000	inf	0.9482	0.0111	0.9481	0.0115
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	16.0000	0.9610	0.0091	0.9610	0.0084
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	32.0000	0.9620	0.0085	0.9620	0.0079
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	64.0000	0.9620	0.0085	0.9620	0.0079
UFZ_Phenomenex	UFZ_Phenomenex	11.0000	inf	0.9620	0.0085	0.9620	0.0079
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	16.0000	0.9757	0.0068	0.9766	0.0068
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	32.0000	0.9761	0.0076	0.9766	0.0086
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	64.0000	0.9761	0.0076	0.9766	0.0086
UFZ_Phenomenex	UFZ_Phenomenex	13.0000	inf	0.9761	0.0076	0.9766	0.0086
