C	epsilon	score	target_system	training_systems
0.0010	0.0001	-0.1182	LIFE_old	LIFE_old
0.0010	0.0005	-0.1182	LIFE_old	LIFE_old
0.0010	0.0010	-0.1181	LIFE_old	LIFE_old
0.0010	0.0050	-0.1176	LIFE_old	LIFE_old
0.0010	0.0100	-0.1168	LIFE_old	LIFE_old
0.0010	0.0250	-0.1113	LIFE_old	LIFE_old
0.0010	0.0500	-0.1139	LIFE_old	LIFE_old
0.0010	0.1000	-0.1274	LIFE_old	LIFE_old
0.0010	0.2500	-0.1142	LIFE_old	LIFE_old
0.0010	0.5000	-0.0422	LIFE_old	LIFE_old
0.0010	1.0000	-0.0757	LIFE_old	LIFE_old
0.0100	0.0001	-0.0273	LIFE_old	LIFE_old
0.0100	0.0005	-0.0272	LIFE_old	LIFE_old
0.0100	0.0010	-0.0272	LIFE_old	LIFE_old
0.0100	0.0050	-0.0267	LIFE_old	LIFE_old
0.0100	0.0100	-0.0260	LIFE_old	LIFE_old
0.0100	0.0250	-0.0233	LIFE_old	LIFE_old
0.0100	0.0500	-0.0307	LIFE_old	LIFE_old
0.0100	0.1000	-0.0431	LIFE_old	LIFE_old
0.0100	0.2500	-0.0333	LIFE_old	LIFE_old
0.0100	0.5000	0.0348	LIFE_old	LIFE_old
0.0100	1.0000	-0.0175	LIFE_old	LIFE_old
0.1000	0.0001	0.5226	LIFE_old	LIFE_old
0.1000	0.0005	0.5226	LIFE_old	LIFE_old
0.1000	0.0010	0.5226	LIFE_old	LIFE_old
0.1000	0.0050	0.5224	LIFE_old	LIFE_old
0.1000	0.0100	0.5220	LIFE_old	LIFE_old
0.1000	0.0250	0.5211	LIFE_old	LIFE_old
0.1000	0.0500	0.5179	LIFE_old	LIFE_old
0.1000	0.1000	0.5104	LIFE_old	LIFE_old
0.1000	0.2500	0.5141	LIFE_old	LIFE_old
0.1000	0.5000	0.4756	LIFE_old	LIFE_old
0.1000	1.0000	0.3680	LIFE_old	LIFE_old
1.0000	0.0001	0.8332	LIFE_old	LIFE_old
1.0000	0.0005	0.8332	LIFE_old	LIFE_old
1.0000	0.0010	0.8332	LIFE_old	LIFE_old
1.0000	0.0050	0.8331	LIFE_old	LIFE_old
1.0000	0.0100	0.8332	LIFE_old	LIFE_old
1.0000	0.0250	0.8332	LIFE_old	LIFE_old
1.0000	0.0500	0.8323	LIFE_old	LIFE_old
1.0000	0.1000	0.8292	LIFE_old	LIFE_old
1.0000	0.2500	0.8113	LIFE_old	LIFE_old
1.0000	0.5000	0.7761	LIFE_old	LIFE_old
1.0000	1.0000	0.6127	LIFE_old	LIFE_old
10.0000	0.0001	0.8398	LIFE_old	LIFE_old
10.0000	0.0005	0.8398	LIFE_old	LIFE_old
10.0000	0.0010	0.8398	LIFE_old	LIFE_old
10.0000	0.0050	0.8400	LIFE_old	LIFE_old
10.0000	0.0100	0.8400	LIFE_old	LIFE_old
10.0000	0.0250	0.8398	LIFE_old	LIFE_old
10.0000	0.0500	0.8395	LIFE_old	LIFE_old
10.0000	0.1000	0.8401	LIFE_old	LIFE_old
10.0000	0.2500	0.8211	LIFE_old	LIFE_old
10.0000	0.5000	0.7796	LIFE_old	LIFE_old
10.0000	1.0000	0.6209	LIFE_old	LIFE_old
100.0000	0.0001	0.8391	LIFE_old	LIFE_old
100.0000	0.0005	0.8391	LIFE_old	LIFE_old
100.0000	0.0010	0.8391	LIFE_old	LIFE_old
100.0000	0.0050	0.8391	LIFE_old	LIFE_old
100.0000	0.0100	0.8391	LIFE_old	LIFE_old
100.0000	0.0250	0.8393	LIFE_old	LIFE_old
100.0000	0.0500	0.8393	LIFE_old	LIFE_old
100.0000	0.1000	0.8401	LIFE_old	LIFE_old
100.0000	0.2500	0.8211	LIFE_old	LIFE_old
100.0000	0.5000	0.7796	LIFE_old	LIFE_old
100.0000	1.0000	0.6209	LIFE_old	LIFE_old
1000.0000	0.0001	0.8391	LIFE_old	LIFE_old
1000.0000	0.0005	0.8391	LIFE_old	LIFE_old
1000.0000	0.0010	0.8391	LIFE_old	LIFE_old
1000.0000	0.0050	0.8391	LIFE_old	LIFE_old
1000.0000	0.0100	0.8391	LIFE_old	LIFE_old
1000.0000	0.0250	0.8393	LIFE_old	LIFE_old
1000.0000	0.0500	0.8393	LIFE_old	LIFE_old
1000.0000	0.1000	0.8401	LIFE_old	LIFE_old
1000.0000	0.2500	0.8211	LIFE_old	LIFE_old
1000.0000	0.5000	0.7796	LIFE_old	LIFE_old
1000.0000	1.0000	0.6209	LIFE_old	LIFE_old
0.0010	0.0001	-0.1197	LIFE_old	LIFE_old
0.0010	0.0005	-0.1197	LIFE_old	LIFE_old
0.0010	0.0010	-0.1197	LIFE_old	LIFE_old
0.0010	0.0050	-0.1191	LIFE_old	LIFE_old
0.0010	0.0100	-0.1185	LIFE_old	LIFE_old
0.0010	0.0250	-0.1227	LIFE_old	LIFE_old
0.0010	0.0500	-0.1265	LIFE_old	LIFE_old
0.0010	0.1000	-0.1332	LIFE_old	LIFE_old
0.0010	0.2500	-0.1076	LIFE_old	LIFE_old
