target_system	training_system	d_lower	d_upper	score_w	score_w_std	score	score_std
Eawag_XBridgeC18	Eawag_XBridgeC18	0	1	0.5477	0.0127	0.5479	0.0125
Eawag_XBridgeC18	Eawag_XBridgeC18	0	2	0.5704	0.0091	0.5703	0.0088
Eawag_XBridgeC18	Eawag_XBridgeC18	0	4	0.6157	0.0077	0.6154	0.0077
Eawag_XBridgeC18	Eawag_XBridgeC18	0	8	0.6841	0.0081	0.6836	0.0082
Eawag_XBridgeC18	Eawag_XBridgeC18	0	16	0.7664	0.0139	0.7662	0.014
Eawag_XBridgeC18	Eawag_XBridgeC18	0	32	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	0	64	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	0	Inf	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	1	1	0.5477	0.0127	0.5479	0.0125
Eawag_XBridgeC18	Eawag_XBridgeC18	1	2	0.5704	0.0091	0.5703	0.0088
Eawag_XBridgeC18	Eawag_XBridgeC18	1	4	0.6157	0.0077	0.6154	0.0077
Eawag_XBridgeC18	Eawag_XBridgeC18	1	8	0.6841	0.0081	0.6836	0.0082
Eawag_XBridgeC18	Eawag_XBridgeC18	1	16	0.7664	0.0139	0.7662	0.014
Eawag_XBridgeC18	Eawag_XBridgeC18	1	32	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	1	64	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	1	Inf	0.8011	0.0132	0.801	0.0131
Eawag_XBridgeC18	Eawag_XBridgeC18	3	4	0.6643	0.0137	0.6638	0.014
Eawag_XBridgeC18	Eawag_XBridgeC18	3	8	0.7282	0.0115	0.7275	0.0116
Eawag_XBridgeC18	Eawag_XBridgeC18	3	16	0.8062	0.0173	0.806	0.0172
Eawag_XBridgeC18	Eawag_XBridgeC18	3	32	0.8387	0.0156	0.8385	0.0154
Eawag_XBridgeC18	Eawag_XBridgeC18	3	64	0.8387	0.0156	0.8385	0.0154
Eawag_XBridgeC18	Eawag_XBridgeC18	3	Inf	0.8387	0.0156	0.8385	0.0154
Eawag_XBridgeC18	Eawag_XBridgeC18	5	8	0.7645	0.0119	0.7636	0.0115
Eawag_XBridgeC18	Eawag_XBridgeC18	5	16	0.8394	0.0185	0.8392	0.0183
Eawag_XBridgeC18	Eawag_XBridgeC18	5	32	0.8698	0.0163	0.8697	0.0161
Eawag_XBridgeC18	Eawag_XBridgeC18	5	64	0.8698	0.0163	0.8697	0.0161
Eawag_XBridgeC18	Eawag_XBridgeC18	5	Inf	0.8698	0.0163	0.8697	0.0161
Eawag_XBridgeC18	Eawag_XBridgeC18	7	8	0.7956	0.018	0.795	0.0174
Eawag_XBridgeC18	Eawag_XBridgeC18	7	16	0.8678	0.0215	0.8677	0.0212
Eawag_XBridgeC18	Eawag_XBridgeC18	7	32	0.8963	0.0184	0.8962	0.0181
Eawag_XBridgeC18	Eawag_XBridgeC18	7	64	0.8963	0.0184	0.8962	0.0181
Eawag_XBridgeC18	Eawag_XBridgeC18	7	Inf	0.8963	0.0184	0.8962	0.0181
Eawag_XBridgeC18	Eawag_XBridgeC18	9	16	0.8919	0.0247	0.8919	0.0244
Eawag_XBridgeC18	Eawag_XBridgeC18	9	32	0.9184	0.02	0.9183	0.0197
Eawag_XBridgeC18	Eawag_XBridgeC18	9	64	0.9184	0.02	0.9183	0.0197
Eawag_XBridgeC18	Eawag_XBridgeC18	9	Inf	0.9184	0.02	0.9183	0.0197
Eawag_XBridgeC18	Eawag_XBridgeC18	11	16	0.9105	0.0249	0.9106	0.0246
Eawag_XBridgeC18	Eawag_XBridgeC18	11	32	0.9356	0.0197	0.9354	0.0194
Eawag_XBridgeC18	Eawag_XBridgeC18	11	64	0.9356	0.0197	0.9354	0.0194
Eawag_XBridgeC18	Eawag_XBridgeC18	11	Inf	0.9356	0.0197	0.9354	0.0194
Eawag_XBridgeC18	Eawag_XBridgeC18	13	16	0.9281	0.0246	0.9282	0.0242
Eawag_XBridgeC18	Eawag_XBridgeC18	13	32	0.9505	0.0185	0.9504	0.0181
Eawag_XBridgeC18	Eawag_XBridgeC18	13	64	0.9505	0.0185	0.9504	0.0181
Eawag_XBridgeC18	Eawag_XBridgeC18	13	Inf	0.9505	0.0185	0.9504	0.0181
UFZ_Phenomenex	UFZ_Phenomenex	0	1	0.5349	0.0274	0.5352	0.0275
UFZ_Phenomenex	UFZ_Phenomenex	0	2	0.5659	0.0188	0.5658	0.0188
UFZ_Phenomenex	UFZ_Phenomenex	0	4	0.6098	0.0147	0.6094	0.0151
UFZ_Phenomenex	UFZ_Phenomenex	0	8	0.6817	0.0164	0.6811	0.0168
UFZ_Phenomenex	UFZ_Phenomenex	0	16	0.7459	0.0163	0.7454	0.0164
