C	epsilon	score	target_system	training_systems
0.001	1e-04	-0.0535	FEM_long	FEM_long
0.001	5e-04	-0.0535	FEM_long	FEM_long
0.001	0.001	-0.0535	FEM_long	FEM_long
0.001	0.005	-0.0535	FEM_long	FEM_long
0.001	0.01	-0.0535	FEM_long	FEM_long
0.001	0.025	-0.0534	FEM_long	FEM_long
0.001	0.05	-0.0534	FEM_long	FEM_long
0.001	0.1	-0.0539	FEM_long	FEM_long
0.001	0.25	-0.0545	FEM_long	FEM_long
0.001	0.5	-0.0519	FEM_long	FEM_long
0.001	1	-0.0489	FEM_long	FEM_long
0.01	1e-04	-0.0428	FEM_long	FEM_long
0.01	5e-04	-0.0428	FEM_long	FEM_long
0.01	0.001	-0.0428	FEM_long	FEM_long
0.01	0.005	-0.0428	FEM_long	FEM_long
0.01	0.01	-0.0428	FEM_long	FEM_long
0.01	0.025	-0.0429	FEM_long	FEM_long
0.01	0.05	-0.043	FEM_long	FEM_long
0.01	0.1	-0.0434	FEM_long	FEM_long
0.01	0.25	-0.0434	FEM_long	FEM_long
0.01	0.5	-0.0409	FEM_long	FEM_long
0.01	1	-0.0381	FEM_long	FEM_long
0.1	1e-04	0.0588	FEM_long	FEM_long
0.1	5e-04	0.0588	FEM_long	FEM_long
0.1	0.001	0.0588	FEM_long	FEM_long
0.1	0.005	0.0588	FEM_long	FEM_long
0.1	0.01	0.0588	FEM_long	FEM_long
0.1	0.025	0.0588	FEM_long	FEM_long
0.1	0.05	0.0588	FEM_long	FEM_long
0.1	0.1	0.0591	FEM_long	FEM_long
0.1	0.25	0.0595	FEM_long	FEM_long
0.1	0.5	0.0596	FEM_long	FEM_long
0.1	1	0.0599	FEM_long	FEM_long
1	1e-04	0.5413	FEM_long	FEM_long
1	5e-04	0.5413	FEM_long	FEM_long
1	0.001	0.5413	FEM_long	FEM_long
1	0.005	0.5413	FEM_long	FEM_long
1	0.01	0.5413	FEM_long	FEM_long
1	0.025	0.5412	FEM_long	FEM_long
1	0.05	0.5411	FEM_long	FEM_long
1	0.1	0.541	FEM_long	FEM_long
1	0.25	0.5412	FEM_long	FEM_long
1	0.5	0.5405	FEM_long	FEM_long
1	1	0.5386	FEM_long	FEM_long
10	1e-04	0.8453	FEM_long	FEM_long
10	5e-04	0.8453	FEM_long	FEM_long
10	0.001	0.8453	FEM_long	FEM_long
10	0.005	0.8453	FEM_long	FEM_long
10	0.01	0.8452	FEM_long	FEM_long
10	0.025	0.8452	FEM_long	FEM_long
10	0.05	0.8451	FEM_long	FEM_long
10	0.1	0.845	FEM_long	FEM_long
10	0.25	0.8442	FEM_long	FEM_long
10	0.5	0.8429	FEM_long	FEM_long
10	1	0.8412	FEM_long	FEM_long
100	1e-04	0.88	FEM_long	FEM_long
100	5e-04	0.88	FEM_long	FEM_long
100	0.001	0.88	FEM_long	FEM_long
100	0.005	0.88	FEM_long	FEM_long
100	0.01	0.88	FEM_long	FEM_long
100	0.025	0.8799	FEM_long	FEM_long
100	0.05	0.8797	FEM_long	FEM_long
100	0.1	0.8794	FEM_long	FEM_long
100	0.25	0.8783	FEM_long	FEM_long
100	0.5	0.8765	FEM_long	FEM_long
100	1	0.8728	FEM_long	FEM_long
1000	1e-04	0.8793	FEM_long	FEM_long
1000	5e-04	0.8793	FEM_long	FEM_long
1000	0.001	0.8793	FEM_long	FEM_long
1000	0.005	0.8793	FEM_long	FEM_long
1000	0.01	0.8793	FEM_long	FEM_long
1000	0.025	0.8792	FEM_long	FEM_long
1000	0.05	0.8791	FEM_long	FEM_long
1000	0.1	0.8789	FEM_long	FEM_long
1000	0.25	0.878	FEM_long	FEM_long
1000	0.5	0.8763	FEM_long	FEM_long
